:,PeriodFormatterBuilder_ESTest::test000,PeriodFormatterBuilder_ESTest::test001,PeriodFormatterBuilder_ESTest::test002,PeriodFormatterBuilder_ESTest::test003,PeriodFormatterBuilder_ESTest::test004,PeriodFormatterBuilder_ESTest::test005,PeriodFormatterBuilder_ESTest::test006,PeriodFormatterBuilder_ESTest::test007,PeriodFormatterBuilder_ESTest::test008,PeriodFormatterBuilder_ESTest::test009,PeriodFormatterBuilder_ESTest::test010,PeriodFormatterBuilder_ESTest::test011,PeriodFormatterBuilder_ESTest::test012,PeriodFormatterBuilder_ESTest::test013,PeriodFormatterBuilder_ESTest::test014,PeriodFormatterBuilder_ESTest::test015,PeriodFormatterBuilder_ESTest::test016,PeriodFormatterBuilder_ESTest::test017,PeriodFormatterBuilder_ESTest::test018,PeriodFormatterBuilder_ESTest::test019,PeriodFormatterBuilder_ESTest::test020,PeriodFormatterBuilder_ESTest::test021,PeriodFormatterBuilder_ESTest::test022,PeriodFormatterBuilder_ESTest::test023,PeriodFormatterBuilder_ESTest::test024,PeriodFormatterBuilder_ESTest::test025,PeriodFormatterBuilder_ESTest::test026,PeriodFormatterBuilder_ESTest::test027,PeriodFormatterBuilder_ESTest::test028,PeriodFormatterBuilder_ESTest::test029,PeriodFormatterBuilder_ESTest::test030,PeriodFormatterBuilder_ESTest::test031,PeriodFormatterBuilder_ESTest::test032,PeriodFormatterBuilder_ESTest::test033,PeriodFormatterBuilder_ESTest::test034,PeriodFormatterBuilder_ESTest::test035,PeriodFormatterBuilder_ESTest::test036,PeriodFormatterBuilder_ESTest::test037,PeriodFormatterBuilder_ESTest::test038,PeriodFormatterBuilder_ESTest::test039,PeriodFormatterBuilder_ESTest::test040,PeriodFormatterBuilder_ESTest::test041,PeriodFormatterBuilder_ESTest::test042,PeriodFormatterBuilder_ESTest::test043,PeriodFormatterBuilder_ESTest::test044,PeriodFormatterBuilder_ESTest::test045,PeriodFormatterBuilder_ESTest::test046,PeriodFormatterBuilder_ESTest::test047,PeriodFormatterBuilder_ESTest::test048,PeriodFormatterBuilder_ESTest::test049,PeriodFormatterBuilder_ESTest::test050,PeriodFormatterBuilder_ESTest::test051,PeriodFormatterBuilder_ESTest::test052,PeriodFormatterBuilder_ESTest::test053,PeriodFormatterBuilder_ESTest::test054,PeriodFormatterBuilder_ESTest::test055,PeriodFormatterBuilder_ESTest::test056,PeriodFormatterBuilder_ESTest::test057,PeriodFormatterBuilder_ESTest::test058,PeriodFormatterBuilder_ESTest::test059,PeriodFormatterBuilder_ESTest::test060,PeriodFormatterBuilder_ESTest::test061,PeriodFormatterBuilder_ESTest::test062,PeriodFormatterBuilder_ESTest::test063,PeriodFormatterBuilder_ESTest::test064,PeriodFormatterBuilder_ESTest::test065,PeriodFormatterBuilder_ESTest::test066,PeriodFormatterBuilder_ESTest::test067,PeriodFormatterBuilder_ESTest::test068,PeriodFormatterBuilder_ESTest::test069,PeriodFormatterBuilder_ESTest::test070,PeriodFormatterBuilder_ESTest::test071,PeriodFormatterBuilder_ESTest::test072,PeriodFormatterBuilder_ESTest::test073,PeriodFormatterBuilder_ESTest::test074,PeriodFormatterBuilder_ESTest::test075,PeriodFormatterBuilder_ESTest::test076,PeriodFormatterBuilder_ESTest::test077,PeriodFormatterBuilder_ESTest::test078,PeriodFormatterBuilder_ESTest::test079,PeriodFormatterBuilder_ESTest::test080,PeriodFormatterBuilder_ESTest::test081,PeriodFormatterBuilder_ESTest::test082,PeriodFormatterBuilder_ESTest::test083,PeriodFormatterBuilder_ESTest::test084,PeriodFormatterBuilder_ESTest::test085,PeriodFormatterBuilder_ESTest::test086,PeriodFormatterBuilder_ESTest::test087,PeriodFormatterBuilder_ESTest::test088,PeriodFormatterBuilder_ESTest::test089,PeriodFormatterBuilder_ESTest::test090,PeriodFormatterBuilder_ESTest::test091,PeriodFormatterBuilder_ESTest::test092,PeriodFormatterBuilder_ESTest::test093,PeriodFormatterBuilder_ESTest::test094,PeriodFormatterBuilder_ESTest::test095,PeriodFormatterBuilder_ESTest::test096,PeriodFormatterBuilder_ESTest::test097,PeriodFormatterBuilder_ESTest::test098,PeriodFormatterBuilder_ESTest::test099,PeriodFormatterBuilder_ESTest::test100,PeriodFormatterBuilder_ESTest::test101,PeriodFormatterBuilder_ESTest::test102,PeriodFormatterBuilder_ESTest::test103,PeriodFormatterBuilder_ESTest::test104,PeriodFormatterBuilder_ESTest::test105,PeriodFormatterBuilder_ESTest::test106,PeriodFormatterBuilder_ESTest::test107,PeriodFormatterBuilder_ESTest::test108,PeriodFormatterBuilder_ESTest::test109,PeriodFormatterBuilder_ESTest::test110,PeriodFormatterBuilder_ESTest::test111,PeriodFormatterBuilder_ESTest::test112,PeriodFormatterBuilder_ESTest::test113,PeriodFormatterBuilder_ESTest::test114,PeriodFormatterBuilder_ESTest::test115,PeriodFormatterBuilder_ESTest::test116,PeriodFormatterBuilder_ESTest::test117,PeriodFormatterBuilder_ESTest::test118,PeriodFormatterBuilder_ESTest::test119,PeriodFormatterBuilder_ESTest::test120,PeriodFormatterBuilder_ESTest::test121,PeriodFormatterBuilder_ESTest::test122,PeriodFormatterBuilder_ESTest::test123,PeriodFormatterBuilder_ESTest::test124,PeriodFormatterBuilder_ESTest::test125,PeriodFormatterBuilder_ESTest::test126,
PeriodFormatterBuilder_ESTest::test031 ,17,3,3,4,3,6,3,3,3,3,3,10,3,3,4,8,8,3,1,2,3,1,0,3,1,1,0,1,3,2,1,0,1,1,3,2,0,1,2,2,1,2,2,6,2,8,3,3,3,3,3,3,3,3,3,3,3,3,5,3,2,9,9,10,5,3,9,7,16,3,8,3,9,4,4,2,8,3,22,13,12,3,4,8,13,5,6,6,7,6,4,7,12,4,4,3,3,3,3,5,3,3,12,4,12,3,3,8,10,8,13,5,5,5,9,9,5,5,8,12,12,5,4,12,3,2,3,
PeriodFormatterBuilder_ESTest::test032 ,17,3,2,4,2,6,2,2,2,2,2,10,2,2,3,8,8,2,0,1,2,0,1,2,0,0,1,0,2,1,0,1,0,0,3,1,1,0,1,1,2,1,1,6,1,8,2,2,2,2,2,2,2,2,2,2,2,2,5,2,3,9,9,10,5,3,9,8,16,3,8,2,9,4,4,2,8,2,22,14,12,2,3,8,13,5,6,7,8,6,3,7,12,4,4,3,2,3,3,5,2,2,12,3,12,3,2,8,10,8,12,5,6,5,9,9,6,6,8,13,13,6,4,12,3,1,2,
PeriodFormatterBuilder_ESTest::test033 ,17,3,2,4,2,6,2,2,2,2,2,10,2,2,3,8,8,2,0,1,2,0,1,2,0,0,1,0,2,1,0,1,0,0,3,1,1,0,1,1,2,1,1,6,1,8,2,2,2,2,2,2,2,2,2,2,2,2,5,2,3,9,9,10,5,3,9,8,16,3,8,2,9,4,4,2,8,2,22,14,12,2,3,8,13,5,6,7,8,6,3,7,12,4,4,3,2,3,3,5,2,2,12,3,12,3,2,8,10,8,12,5,6,5,9,9,6,6,8,13,13,6,4,12,3,1,2,
PeriodFormatterBuilder_ESTest::test034 ,15,2,4,4,4,4,4,3,4,4,4,8,4,3,5,7,7,3,3,4,4,3,3,4,3,3,3,3,4,3,3,3,3,3,0,3,3,3,3,3,2,4,3,5,4,8,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,8,7,7,5,3,8,7,14,2,8,4,8,3,3,2,7,3,21,15,11,4,3,7,12,4,5,6,7,5,3,6,11,2,3,2,3,4,2,5,4,4,11,5,10,4,3,7,9,7,12,5,6,5,8,8,6,5,7,11,11,5,4,11,2,3,2,
PeriodFormatterBuilder_ESTest::test035 ,18,3,1,4,1,6,2,1,1,1,2,10,1,1,2,8,8,2,1,1,1,1,2,1,1,1,2,1,1,0,1,2,1,1,3,0,2,1,0,0,3,1,0,7,1,9,1,1,2,1,1,2,1,2,1,1,1,2,5,2,4,9,9,10,5,3,10,9,16,3,8,1,9,4,4,2,8,1,22,15,12,1,3,8,13,6,7,8,9,7,3,7,12,3,3,2,1,3,2,4,1,1,12,2,12,3,2,8,10,8,12,5,7,5,9,9,7,7,8,13,13,7,4,12,4,0,2,
PeriodFormatterBuilder_ESTest::test036 ,17,3,3,4,3,6,3,3,3,3,3,10,3,3,4,8,8,3,1,2,3,1,0,3,1,1,0,1,3,2,1,0,1,1,3,2,0,1,2,2,1,2,2,6,2,8,3,3,3,3,3,3,3,3,3,3,3,3,5,3,2,9,9,10,5,3,9,7,16,3,8,3,9,4,4,2,8,3,22,13,12,3,4,8,13,5,6,6,7,6,4,7,12,4,4,3,3,3,3,5,3,3,12,4,12,3,3,8,10,8,13,5,5,5,9,9,5,5,8,12,12,5,4,12,3,2,3,
PeriodFormatterBuilder_ESTest::test037 ,17,3,2,4,2,6,2,2,2,2,2,10,2,2,3,8,8,2,0,1,2,0,1,2,0,0,1,0,2,1,0,1,0,0,3,1,1,0,1,1,2,1,1,6,1,8,2,2,2,2,2,2,2,2,2,2,2,2,5,2,3,9,9,10,5,3,9,8,16,3,8,2,9,4,4,2,8,2,22,14,12,2,3,8,13,5,6,7,8,6,3,7,12,4,4,3,2,3,3,5,2,2,12,3,12,3,2,8,10,8,12,5,6,5,9,9,6,6,8,13,13,6,4,12,3,1,2,
PeriodFormatterBuilder_ESTest::test038 ,18,3,1,4,1,6,2,1,1,1,2,10,1,1,2,8,8,2,1,1,1,1,2,1,1,1,2,1,1,0,1,2,1,1,3,0,2,1,0,0,3,1,0,7,1,9,1,1,2,1,1,2,1,2,1,1,1,2,5,2,4,9,9,10,5,3,10,9,16,3,8,1,9,4,4,2,8,1,22,15,12,1,3,8,13,6,7,8,9,7,3,7,12,3,3,2,1,3,2,4,1,1,12,2,12,3,2,8,10,8,12,5,7,5,9,9,7,7,8,13,13,7,4,12,4,0,2,
PeriodFormatterBuilder_ESTest::test039 ,18,3,1,4,1,6,2,1,1,1,2,10,1,1,2,8,8,2,1,1,1,1,2,1,1,1,2,1,1,0,1,2,1,1,3,0,2,1,0,0,3,1,0,7,1,9,1,1,2,1,1,2,1,2,1,1,1,2,5,2,4,9,9,10,5,3,10,9,16,3,8,1,9,4,4,2,8,1,22,15,12,1,3,8,13,6,7,8,9,7,3,7,12,3,3,2,1,3,2,4,1,1,12,2,12,3,2,8,10,8,12,5,7,5,9,9,7,7,8,13,13,7,4,12,4,0,2,
PeriodFormatterBuilder_ESTest::test040 ,16,3,4,3,4,5,4,4,4,4,4,9,4,4,5,7,8,4,2,3,4,2,1,4,2,2,1,2,4,3,2,1,2,2,2,3,1,2,3,3,0,3,3,5,3,7,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,8,8,9,5,3,8,6,15,3,8,4,8,3,3,2,8,4,21,13,12,4,3,8,13,4,5,5,6,5,4,6,11,4,4,4,4,4,4,5,4,4,12,5,11,4,3,8,10,7,12,5,4,4,8,8,4,4,8,11,11,4,3,12,2,3,3,
PeriodFormatterBuilder_ESTest::test041 ,17,3,1,4,1,6,2,2,1,1,2,10,1,2,2,8,9,3,1,0,1,1,2,1,1,1,2,1,1,1,1,2,1,1,4,1,2,1,1,1,3,0,1,6,0,8,2,2,2,2,2,2,2,2,2,2,1,2,5,2,3,10,9,10,6,3,9,9,16,3,8,1,9,4,4,3,9,2,23,14,13,2,4,9,14,6,7,8,9,7,3,7,12,4,4,3,2,4,3,5,2,2,13,2,12,3,3,9,10,8,13,5,6,5,9,9,6,6,8,13,13,6,4,13,4,1,2,
PeriodFormatterBuilder_ESTest::test042 ,18,3,1,4,1,6,2,1,1,1,2,10,1,1,2,8,8,2,1,1,1,1,2,1,1,1,2,1,1,0,1,2,1,1,3,0,2,1,0,0,3,1,0,7,1,9,1,1,2,1,1,2,1,2,1,1,1,2,5,2,4,9,9,10,5,3,10,9,16,3,8,1,9,4,4,2,8,1,22,15,12,1,3,8,13,6,7,8,9,7,3,7,12,3,3,2,1,3,2,4,1,1,12,2,12,3,2,8,10,8,12,5,7,5,9,9,7,7,8,13,13,7,4,12,4,0,2,
PeriodFormatterBuilder_ESTest::test043 ,16,5,7,5,7,4,7,6,7,7,7,9,6,6,8,8,8,6,6,6,7,6,6,7,6,6,6,6,7,7,6,6,6,6,5,7,6,6,7,7,5,6,7,0,6,6,8,8,7,8,8,7,8,7,8,8,7,6,5,5,5,9,8,9,6,6,7,5,14,5,8,7,8,5,5,6,8,6,22,13,12,8,6,8,13,3,4,4,6,4,4,6,11,5,6,5,6,7,5,7,8,8,12,8,11,6,6,8,8,8,10,6,6,4,8,8,5,4,7,8,8,5,6,12,5,7,5,
PeriodFormatterBuilder_ESTest::test044 ,17,3,1,4,1,6,2,2,1,1,2,10,1,2,2,8,9,3,1,0,1,1,2,1,1,1,2,1,1,1,1,2,1,1,4,1,2,1,1,1,3,0,1,6,0,8,2,2,2,2,2,2,2,2,2,2,1,2,5,2,3,10,9,10,6,3,9,9,16,3,8,1,9,4,4,3,9,2,23,14,13,2,4,9,14,6,7,8,9,7,3,7,12,4,4,3,2,4,3,5,2,2,13,2,12,3,3,9,10,8,13,5,6,5,9,9,6,6,8,13,13,6,4,13,4,1,2,
PeriodFormatterBuilder_ESTest::test045 ,14,8,9,7,9,8,9,9,9,9,9,9,8,9,10,7,8,9,8,8,9,8,8,9,8,8,8,8,9,9,8,8,8,8,8,9,8,8,9,9,7,8,9,6,8,0,10,10,8,10,10,8,10,8,10,10,8,7,7,7,8,9,9,9,7,7,6,7,14,7,9,9,9,6,6,8,8,9,22,12,11,10,7,8,13,6,6,6,8,6,8,7,8,9,9,9,9,9,9,8,10,10,12,10,10,8,7,8,7,8,11,8,6,8,8,9,8,6,9,10,10,7,6,12,7,9,8,
PeriodFormatterBuilder_ESTest::test046 ,19,4,1,5,1,7,3,2,1,1,3,11,2,2,1,9,9,3,2,2,1,2,3,1,2,2,3,2,1,1,2,3,2,2,4,1,3,2,1,1,4,2,1,8,2,10,0,0,3,0,0,3,0,3,0,0,2,3,6,3,5,10,10,11,6,4,11,10,17,4,9,1,10,5,5,3,9,2,23,16,13,0,4,9,14,7,8,9,10,8,4,8,13,4,4,3,2,4,3,5,0,0,13,1,13,4,3,9,11,9,13,6,8,6,10,10,8,8,9,14,14,8,5,13,5,1,3,
PeriodFormatterBuilder_ESTest::test047 ,19,4,1,5,1,7,3,2,1,1,3,11,2,2,1,9,9,3,2,2,1,2,3,1,2,2,3,2,1,1,2,3,2,2,4,1,3,2,1,1,4,2,1,8,2,10,0,0,3,0,0,3,0,3,0,0,2,3,6,3,5,10,10,11,6,4,11,10,17,4,9,1,10,5,5,3,9,2,23,16,13,0,4,9,14,7,8,9,10,8,4,8,13,4,4,3,2,4,3,5,0,0,13,1,13,4,3,9,11,9,13,6,8,6,10,10,8,8,9,14,14,8,5,13,5,1,3,
PeriodFormatterBuilder_ESTest::test048 ,17,3,2,4,2,7,2,2,2,2,2,10,2,2,3,8,8,3,2,2,2,2,3,2,2,2,3,2,2,2,2,3,2,2,4,2,3,2,2,2,4,2,2,7,2,8,3,3,0,3,3,0,3,0,3,3,1,1,4,2,4,9,8,9,5,2,9,10,15,2,8,2,9,4,4,3,8,2,22,14,12,3,3,8,13,7,8,9,10,8,3,7,12,4,4,3,2,4,3,4,3,3,12,3,10,3,2,8,9,8,11,4,7,6,9,9,7,7,9,13,13,7,4,12,5,2,2,
PeriodFormatterBuilder_ESTest::test049 ,19,4,1,5,1,7,3,2,1,1,3,11,2,2,1,9,9,3,2,2,1,2,3,1,2,2,3,2,1,1,2,3,2,2,4,1,3,2,1,1,4,2,1,8,2,10,0,0,3,0,0,3,0,3,0,0,2,3,6,3,5,10,10,11,6,4,11,10,17,4,9,1,10,5,5,3,9,2,23,16,13,0,4,9,14,7,8,9,10,8,4,8,13,4,4,3,2,4,3,5,0,0,13,1,13,4,3,9,11,9,13,6,8,6,10,10,8,8,9,14,14,8,5,13,5,1,3,
PeriodFormatterBuilder_ESTest::test050 ,19,4,1,5,1,7,3,2,1,1,3,11,2,2,1,9,9,3,2,2,1,2,3,1,2,2,3,2,1,1,2,3,2,2,4,1,3,2,1,1,4,2,1,8,2,10,0,0,3,0,0,3,0,3,0,0,2,3,6,3,5,10,10,11,6,4,11,10,17,4,9,1,10,5,5,3,9,2,23,16,13,0,4,9,14,7,8,9,10,8,4,8,13,4,4,3,2,4,3,5,0,0,13,1,13,4,3,9,11,9,13,6,8,6,10,10,8,8,9,14,14,8,5,13,5,1,3,
PeriodFormatterBuilder_ESTest::test051 ,17,3,2,4,2,7,2,2,2,2,2,10,2,2,3,8,8,3,2,2,2,2,3,2,2,2,3,2,2,2,2,3,2,2,4,2,3,2,2,2,4,2,2,7,2,8,3,3,0,3,3,0,3,0,3,3,1,1,4,2,4,9,8,9,5,2,9,10,15,2,8,2,9,4,4,3,8,2,22,14,12,3,3,8,13,7,8,9,10,8,3,7,12,4,4,3,2,4,3,4,3,3,12,3,10,3,2,8,9,8,11,4,7,6,9,9,7,7,9,13,13,7,4,12,5,2,2,
PeriodFormatterBuilder_ESTest::test052 ,19,4,1,5,1,7,3,2,1,1,3,11,2,2,1,9,9,3,2,2,1,2,3,1,2,2,3,2,1,1,2,3,2,2,4,1,3,2,1,1,4,2,1,8,2,10,0,0,3,0,0,3,0,3,0,0,2,3,6,3,5,10,10,11,6,4,11,10,17,4,9,1,10,5,5,3,9,2,23,16,13,0,4,9,14,7,8,9,10,8,4,8,13,4,4,3,2,4,3,5,0,0,13,1,13,4,3,9,11,9,13,6,8,6,10,10,8,8,9,14,14,8,5,13,5,1,3,
PeriodFormatterBuilder_ESTest::test053 ,17,3,2,4,2,7,2,2,2,2,2,10,2,2,3,8,8,3,2,2,2,2,3,2,2,2,3,2,2,2,2,3,2,2,4,2,3,2,2,2,4,2,2,7,2,8,3,3,0,3,3,0,3,0,3,3,1,1,4,2,4,9,8,9,5,2,9,10,15,2,8,2,9,4,4,3,8,2,22,14,12,3,3,8,13,7,8,9,10,8,3,7,12,4,4,3,2,4,3,4,3,3,12,3,10,3,2,8,9,8,11,4,7,6,9,9,7,7,9,13,13,7,4,12,5,2,2,
PeriodFormatterBuilder_ESTest::test054 ,19,4,1,5,1,7,3,2,1,1,3,11,2,2,1,9,9,3,2,2,1,2,3,1,2,2,3,2,1,1,2,3,2,2,4,1,3,2,1,1,4,2,1,8,2,10,0,0,3,0,0,3,0,3,0,0,2,3,6,3,5,10,10,11,6,4,11,10,17,4,9,1,10,5,5,3,9,2,23,16,13,0,4,9,14,7,8,9,10,8,4,8,13,4,4,3,2,4,3,5,0,0,13,1,13,4,3,9,11,9,13,6,8,6,10,10,8,8,9,14,14,8,5,13,5,1,3,
PeriodFormatterBuilder_ESTest::test055 ,19,4,1,5,1,7,3,2,1,1,3,11,2,2,1,9,9,3,2,2,1,2,3,1,2,2,3,2,1,1,2,3,2,2,4,1,3,2,1,1,4,2,1,8,2,10,0,0,3,0,0,3,0,3,0,0,2,3,6,3,5,10,10,11,6,4,11,10,17,4,9,1,10,5,5,3,9,2,23,16,13,0,4,9,14,7,8,9,10,8,4,8,13,4,4,3,2,4,3,5,0,0,13,1,13,4,3,9,11,9,13,6,8,6,10,10,8,8,9,14,14,8,5,13,5,1,3,
PeriodFormatterBuilder_ESTest::test056 ,17,3,1,4,1,7,2,2,1,1,2,10,1,2,2,8,8,3,2,1,1,2,3,1,2,2,3,2,1,1,2,3,2,2,4,1,3,2,1,1,4,1,1,7,1,8,2,2,1,2,2,1,2,1,2,2,0,1,4,2,4,9,9,10,5,2,9,10,15,2,8,1,9,4,4,3,8,2,22,14,12,2,3,8,13,7,8,9,10,8,3,7,12,4,4,3,2,4,3,4,2,2,12,2,11,3,2,8,9,8,12,4,7,6,9,9,7,7,9,13,13,7,4,12,5,1,2,
PeriodFormatterBuilder_ESTest::test057 ,16,3,2,4,2,6,2,2,2,2,2,10,1,2,3,8,8,3,2,2,2,2,3,2,2,2,3,2,2,2,2,3,2,2,4,2,3,2,2,2,4,2,2,6,2,7,3,3,1,3,3,1,3,1,3,3,1,0,4,2,4,9,9,10,5,2,8,9,15,2,8,2,9,4,4,3,8,2,22,13,11,3,3,8,13,6,7,8,9,7,3,7,12,4,4,3,2,4,3,4,3,3,12,3,10,2,2,8,8,8,11,4,6,5,9,9,7,6,9,12,12,7,4,12,5,2,2,
PeriodFormatterBuilder_ESTest::test058 ,15,3,5,3,5,5,4,4,5,5,4,7,5,4,6,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,4,5,5,5,5,7,6,6,4,6,6,4,6,4,6,6,4,4,0,4,5,8,7,8,4,3,7,8,12,2,8,5,8,3,3,4,7,4,21,13,11,6,3,7,12,5,6,7,8,6,4,6,11,4,4,4,4,5,4,4,6,6,11,6,9,5,3,7,9,7,11,4,6,5,7,8,6,6,8,11,11,6,3,11,3,5,3,
PeriodFormatterBuilder_ESTest::test059 ,16,2,2,4,2,5,2,2,2,2,2,9,1,2,3,8,8,3,2,2,2,2,3,2,2,2,3,2,2,2,2,3,2,2,3,2,3,2,2,2,3,2,2,5,2,7,3,3,2,3,3,2,3,2,3,3,2,2,4,0,2,9,8,9,5,2,8,8,15,2,8,2,9,4,4,2,8,2,22,14,11,3,3,8,13,5,6,7,8,6,1,6,11,3,3,2,2,4,2,5,3,3,12,3,11,3,2,8,9,8,11,5,6,4,9,9,6,5,8,12,12,6,4,12,4,2,1,
PeriodFormatterBuilder_ESTest::test060 ,16,3,4,4,4,5,4,3,4,4,4,10,3,3,5,8,8,3,3,3,4,3,2,4,3,3,2,3,4,4,3,2,3,3,3,4,2,3,4,4,3,3,4,5,3,8,5,5,4,5,5,4,5,4,5,5,4,4,5,2,0,9,9,9,6,4,9,8,15,3,8,4,9,4,4,4,8,3,22,13,11,5,4,8,13,5,6,7,7,6,3,7,12,3,4,3,3,4,3,5,5,5,12,5,11,4,4,8,9,8,11,5,5,5,9,9,5,5,8,12,12,5,5,12,5,4,3,
PeriodFormatterBuilder_ESTest::test061 ,16,9,10,8,10,9,10,9,10,10,10,9,10,9,11,3,3,8,9,10,10,9,9,10,9,9,9,9,10,9,9,9,9,9,8,9,9,9,9,9,8,10,9,9,10,9,10,10,9,10,10,9,10,9,10,10,9,9,8,9,9,0,11,11,6,8,6,10,15,8,10,10,2,7,7,8,2,9,18,14,6,10,6,1,5,9,9,10,10,9,10,10,12,9,9,9,9,7,9,8,10,10,5,11,11,10,7,3,9,2,12,9,9,9,3,2,9,9,3,7,7,9,7,5,8,9,9,
PeriodFormatterBuilder_ESTest::test062 ,16,6,9,8,9,7,9,8,9,9,9,9,9,8,10,10,10,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,9,9,9,9,9,8,9,9,8,9,9,10,10,8,10,10,8,10,8,10,10,9,9,7,8,9,11,0,1,7,7,9,8,13,7,9,9,10,8,8,8,9,8,23,16,13,10,8,10,14,6,7,7,9,7,8,6,10,7,8,7,8,8,7,9,10,10,13,10,7,8,8,10,11,10,12,8,8,6,11,10,8,8,10,13,13,8,7,13,7,9,7,
PeriodFormatterBuilder_ESTest::test063 ,16,7,10,9,10,8,10,9,10,10,10,9,10,9,11,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,9,10,10,9,10,9,11,11,9,11,11,9,11,9,11,11,10,10,8,9,9,11,1,0,8,8,9,9,12,8,10,10,10,9,9,9,9,9,23,16,13,11,9,10,14,7,8,8,9,8,9,7,9,8,9,8,9,9,8,10,11,11,13,11,7,9,9,10,10,10,12,9,9,7,11,10,9,9,10,13,13,8,8,13,8,10,8,
PeriodFormatterBuilder_ESTest::test064 ,16,4,6,4,6,6,6,5,6,6,6,9,6,5,7,7,6,4,5,6,6,5,5,6,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,6,7,6,6,5,6,6,5,6,5,6,6,5,5,4,5,6,6,7,8,0,3,8,6,12,4,8,6,6,3,3,4,6,5,19,14,11,6,3,6,10,6,6,6,8,6,6,6,10,5,5,5,5,4,5,3,6,6,10,7,9,5,3,6,8,6,10,3,7,5,7,6,7,6,8,11,11,5,2,10,5,5,5,
PeriodFormatterBuilder_ESTest::test065 ,16,2,3,3,3,6,3,3,3,3,3,9,3,3,4,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,7,4,4,2,4,4,2,4,2,4,4,2,2,3,2,4,8,7,8,3,0,8,8,13,1,8,3,8,3,3,2,7,3,21,14,11,4,2,7,12,5,6,7,8,6,3,5,10,3,3,3,3,4,3,4,4,4,11,4,9,2,1,7,8,7,11,3,6,4,8,8,6,6,8,12,12,5,2,11,4,3,2,
PeriodFormatterBuilder_ESTest::test066 ,15,8,10,7,10,8,10,9,10,10,10,5,9,9,11,5,6,10,9,9,10,9,9,10,9,9,9,9,10,10,9,9,9,9,8,10,9,9,10,10,8,9,10,7,9,6,11,11,9,11,11,9,11,9,11,11,9,8,7,8,9,6,9,9,8,8,0,8,14,7,10,10,7,7,7,9,6,9,22,12,7,11,7,5,8,7,8,7,8,8,8,9,11,9,9,9,9,10,9,9,11,11,7,11,10,9,8,6,9,6,10,9,8,8,6,7,9,7,6,9,9,8,7,7,6,10,8,
PeriodFormatterBuilder_ESTest::test067 ,16,7,10,7,10,6,10,8,10,10,10,9,9,8,11,10,10,7,8,9,10,8,7,10,8,8,7,8,10,9,8,7,8,8,7,9,7,8,9,9,6,9,9,5,9,7,10,10,10,10,10,10,10,10,10,10,10,9,8,8,8,10,8,9,6,8,8,0,14,8,10,10,9,6,6,8,10,8,22,13,12,10,8,10,13,3,2,1,4,2,8,8,10,8,8,8,8,7,8,9,10,10,12,11,11,8,8,10,9,9,11,9,7,5,10,9,7,5,9,8,8,7,6,12,6,9,8,
PeriodFormatterBuilder_ESTest::test068 ,17,14,16,14,16,15,15,15,16,16,15,14,16,15,17,14,13,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,16,16,16,16,16,15,16,16,14,16,14,17,17,15,17,17,15,17,15,17,17,15,15,12,15,15,15,13,12,12,13,14,14,0,13,12,16,14,13,13,15,14,15,18,15,14,17,14,14,15,14,14,14,15,14,14,12,8,15,15,15,15,15,15,13,17,17,14,17,12,15,14,13,14,14,14,12,15,14,14,14,14,14,15,15,15,13,13,14,14,16,14,
PeriodFormatterBuilder_ESTest::test069 ,15,1,3,3,3,5,3,2,3,3,3,8,3,2,4,7,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,5,3,7,4,4,2,4,4,2,4,2,4,4,2,2,2,2,3,8,7,8,4,1,7,8,13,0,8,3,7,2,2,2,6,2,21,14,11,4,2,7,11,5,6,7,8,6,2,6,11,2,3,2,2,4,2,4,4,4,11,4,9,3,1,7,8,7,11,4,6,5,7,7,6,5,7,11,11,5,3,11,3,3,1,
PeriodFormatterBuilder_ESTest::test070 ,18,8,8,8,8,8,8,8,8,8,8,10,8,8,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,8,9,9,8,9,8,9,9,8,8,8,8,8,10,9,10,8,8,10,10,12,8,0,8,10,8,8,8,9,8,19,15,13,9,8,9,14,8,8,9,10,8,9,9,8,8,7,8,8,8,8,8,9,9,13,9,10,8,8,9,11,9,13,9,8,8,10,10,8,8,9,14,14,8,8,13,8,8,8,
