:,CSVFormatTest::testDelimiterSameAsCommentStartThrowsException,CSVFormatTest::testDelimiterSameAsEscapeThrowsException,CSVFormatTest::testDuplicateHeaderElements,CSVFormatTest::testEquals,CSVFormatTest::testEqualsCommentStart,CSVFormatTest::testEqualsDelimiter,CSVFormatTest::testEqualsEscape,CSVFormatTest::testEqualsHeader,CSVFormatTest::testEqualsIgnoreEmptyLines,CSVFormatTest::testEqualsIgnoreSurroundingSpaces,CSVFormatTest::testEqualsNullString,CSVFormatTest::testEqualsQuoteChar,CSVFormatTest::testEqualsQuotePolicy,CSVFormatTest::testEqualsRecordSeparator,CSVFormatTest::testEqualsSkipHeaderRecord,CSVFormatTest::testEscapeSameAsCommentStartThrowsException,CSVFormatTest::testEscapeSameAsCommentStartThrowsExceptionForWrapperType,CSVFormatTest::testFormat,CSVFormatTest::testGetHeader,CSVFormatTest::testNullRecordSeparatorCsv106,CSVFormatTest::testQuoteCharSameAsCommentStartThrowsException,CSVFormatTest::testQuoteCharSameAsCommentStartThrowsExceptionForWrapperType,CSVFormatTest::testQuoteCharSameAsDelimiterThrowsException,CSVFormatTest::testQuotePolicyNoneWithoutEscapeThrowsException,CSVFormatTest::testRFC4180,CSVFormatTest::testWithCommentStart,CSVFormatTest::testWithCommentStartCRThrowsException,CSVFormatTest::testWithDelimiter,CSVFormatTest::testWithDelimiterLFThrowsException,CSVFormatTest::testWithEscape,CSVFormatTest::testWithEscapeCRThrowsExceptions,CSVFormatTest::testWithHeader,CSVFormatTest::testWithIgnoreEmptyLines,CSVFormatTest::testWithIgnoreSurround,CSVFormatTest::testWithNullString,CSVFormatTest::testWithQuoteChar,CSVFormatTest::testWithQuoteLFThrowsException,CSVFormatTest::testWithQuotePolicy,CSVFormatTest::testWithRecordSeparatorCR,CSVFormatTest::testWithRecordSeparatorCRLF,CSVFormatTest::testWithRecordSeparatorLF,CSVParserTest::testBOM,CSVParserTest::testBOMInputStream,CSVParserTest::testBackslashEscaping,CSVParserTest::testBackslashEscaping2,CSVParserTest::testBackslashEscapingOld,CSVParserTest::testCSV57,CSVParserTest::testCarriageReturnEndings,CSVParserTest::testCarriageReturnLineFeedEndings,CSVParserTest::testClose,CSVParserTest::testDefaultFormat,CSVParserTest::testDuplicateHeaders,CSVParserTest::testEmptyFile,CSVParserTest::testEmptyLineBehaviourCSV,CSVParserTest::testEmptyLineBehaviourExcel,CSVParserTest::testEndOfFileBehaviorCSV,CSVParserTest::testEndOfFileBehaviourExcel,CSVParserTest::testExcelFormat1,CSVParserTest::testExcelFormat2,CSVParserTest::testExcelHeaderCountLessThanData,CSVParserTest::testForEach,CSVParserTest::testGetHeaderMap,CSVParserTest::testGetLine,CSVParserTest::testGetLineNumberWithCR,CSVParserTest::testGetLineNumberWithCRLF,CSVParserTest::testGetLineNumberWithLF,CSVParserTest::testGetOneLine,CSVParserTest::testGetOneLineOneParser,CSVParserTest::testGetRecordNumberWithCR,CSVParserTest::testGetRecordNumberWithCRLF,CSVParserTest::testGetRecordNumberWithLF,CSVParserTest::testGetRecordWithMultiLineValues,CSVParserTest::testGetRecords,CSVParserTest::testHeader,CSVParserTest::testHeaderComment,CSVParserTest::testHeaderMissing,CSVParserTest::testHeaderMissingWithNull,CSVParserTest::testHeadersMissing,CSVParserTest::testHeadersMissingException,CSVParserTest::testIgnoreEmptyLines,CSVParserTest::testInvalidFormat,CSVParserTest::testIterator,CSVParserTest::testLineFeedEndings,CSVParserTest::testMappedButNotSetAsOutlook2007ContactExport,CSVParserTest::testMultipleIterators,CSVParserTest::testNewCSVParserNullReaderFormat,CSVParserTest::testNewCSVParserReaderNullFormat,CSVParserTest::testNoHeaderMap,CSVParserTest::testParseFileNullFormat,CSVParserTest::testParseNullFileFormat,CSVParserTest::testParseNullStringFormat,CSVParserTest::testParseNullUrlCharsetFormat,CSVParserTest::testParseStringNullFormat,CSVParserTest::testParseUrlCharsetNullFormat,CSVParserTest::testParserUrlNullCharsetFormat,CSVParserTest::testProvidedHeader,CSVParserTest::testProvidedHeaderAuto,CSVParserTest::testRoundtrip,CSVParserTest::testSkipAutoHeader,CSVParserTest::testSkipSetHeader,
CSVParserTest::testBackslashEscaping ,116,116,111,118,114,116,113,95,111,112,111,115,115,110,109,116,114,100,102,102,116,115,116,117,117,116,117,117,116,116,117,102,116,116,118,116,116,118,116,118,115,117,118,0,72,30,117,118,118,115,59,117,118,91,82,73,71,57,74,117,85,103,116,117,118,116,116,113,117,118,116,114,114,111,110,112,115,115,116,118,116,87,118,106,112,117,116,118,117,118,118,118,118,117,117,102,111,116,116,106,
CSVParserTest::testBackslashEscaping2 ,45,45,40,47,45,45,45,28,43,44,44,45,45,43,42,45,44,29,31,32,45,44,45,46,46,45,46,46,46,45,46,31,45,45,47,45,46,47,45,47,45,46,47,72,0,60,47,47,47,45,36,46,47,26,25,32,38,41,26,46,17,32,45,46,47,46,45,42,46,47,46,43,43,40,40,41,44,44,45,47,46,16,47,35,41,46,45,47,46,47,47,47,47,46,46,31,40,45,45,35,
CSVParserTest::testBackslashEscapingOld ,101,101,96,101,99,101,99,81,97,97,97,100,101,97,96,101,99,85,87,87,101,100,101,102,102,101,102,101,102,101,102,87,101,101,103,101,102,103,101,103,101,102,103,30,60,0,101,102,102,100,49,102,103,71,60,53,48,37,52,102,70,88,99,102,103,102,100,98,102,103,102,98,94,96,96,97,100,100,101,102,101,72,102,91,97,102,101,103,102,103,103,103,103,102,102,87,96,101,101,91,
CSVParserTest::testCSV57 ,5,5,8,4,8,4,10,32,11,10,12,6,4,14,14,5,7,18,16,17,5,6,5,3,5,4,3,2,3,4,3,16,2,2,2,4,3,2,4,2,4,2,2,117,47,101,0,1,1,5,69,2,2,34,48,59,66,79,52,2,36,15,4,2,2,2,3,12,2,2,2,7,8,7,9,6,4,4,3,1,4,32,1,12,6,2,3,2,3,2,2,2,2,2,2,16,7,2,2,12,
CSVParserTest::testCarriageReturnEndings ,5,5,8,4,8,4,10,32,11,10,12,6,4,14,14,5,7,18,16,17,5,6,5,3,5,4,3,2,3,4,3,16,2,2,1,4,3,1,4,1,4,2,1,118,47,102,1,0,0,5,69,2,1,34,48,59,66,79,52,2,36,15,4,2,1,2,3,12,2,1,2,8,8,7,9,6,4,4,3,0,4,32,0,12,6,2,3,1,3,2,2,2,2,2,2,16,7,2,2,12,
CSVParserTest::testCarriageReturnLineFeedEndings ,5,5,8,4,8,4,10,32,11,10,12,6,4,14,14,5,7,18,16,17,5,6,5,3,5,4,3,2,3,4,3,16,2,2,1,4,3,1,4,1,4,2,1,118,47,102,1,0,0,5,69,2,1,34,48,59,66,79,52,2,36,15,4,2,1,2,3,12,2,1,2,8,8,7,9,6,4,4,3,0,4,32,0,12,6,2,3,1,3,2,2,2,2,2,2,16,7,2,2,12,
CSVParserTest::testClose ,4,4,6,5,6,4,8,29,9,8,10,5,4,12,12,4,4,16,14,15,4,3,4,3,6,3,3,4,3,4,3,14,4,4,5,4,3,5,4,5,4,4,5,115,45,100,5,5,5,0,67,3,5,33,47,57,64,78,51,4,35,13,4,4,5,4,4,9,4,5,4,7,8,5,5,4,3,3,2,5,4,29,5,10,5,4,4,5,3,4,4,4,4,4,4,14,5,4,3,10,
CSVParserTest::testDefaultFormat ,69,69,62,69,68,68,68,47,66,67,66,68,68,66,65,69,67,51,53,54,69,68,69,69,69,67,69,69,69,68,69,53,67,67,69,68,69,69,68,69,68,68,69,59,36,49,69,69,69,67,0,68,69,44,37,38,35,37,26,68,37,54,67,68,69,68,67,64,68,69,68,65,65,62,62,63,66,66,67,69,68,39,69,57,63,68,67,69,68,69,69,69,69,68,68,53,62,67,67,57,
CSVParserTest::testDuplicateHeaders ,4,4,6,5,8,4,10,31,11,10,12,6,4,14,14,4,6,17,15,16,4,5,4,2,6,4,2,3,2,4,2,15,1,1,2,4,2,2,4,2,4,1,2,117,46,102,2,2,2,3,68,0,2,34,48,59,66,79,52,1,36,14,3,2,2,2,2,10,2,2,2,8,8,6,8,5,2,2,1,2,4,30,2,11,5,2,3,2,2,1,1,1,1,2,2,15,6,2,2,11,
CSVParserTest::testEmptyFile ,5,5,8,5,8,4,10,32,11,10,12,6,4,14,14,5,7,18,16,17,5,6,5,3,6,4,3,3,3,4,3,16,2,2,0,4,3,0,4,0,4,2,0,118,47,103,2,1,1,5,69,2,0,35,49,60,67,80,53,2,37,15,4,2,0,2,3,12,2,0,2,8,9,7,9,6,4,4,3,1,4,32,1,12,6,2,3,0,3,2,2,2,2,2,2,16,7,2,2,12,
CSVParserTest::testEmptyLineBehaviourCSV ,35,35,28,33,35,35,35,27,32,33,33,35,35,33,31,35,33,20,22,23,35,34,35,35,34,35,35,34,35,35,35,22,33,33,35,35,35,35,35,35,35,34,35,91,26,71,34,34,34,33,44,34,35,0,15,27,33,47,26,34,23,23,31,35,35,35,32,29,35,35,35,31,26,29,30,30,32,32,33,34,34,19,34,26,30,34,33,35,34,35,35,35,35,34,34,24,29,33,33,26,
CSVParserTest::testEmptyLineBehaviourExcel ,49,49,42,47,49,49,49,36,46,47,47,49,49,47,45,49,47,34,34,35,49,48,49,49,48,49,49,48,49,49,49,34,47,47,49,49,49,49,49,49,49,48,49,82,25,60,48,48,48,47,37,48,49,15,0,21,20,38,17,48,30,36,45,49,49,49,46,43,49,49,49,45,40,42,43,43,46,46,47,48,48,28,48,37,43,48,47,49,48,49,49,49,49,48,48,36,42,47,47,37,
CSVParserTest::testEndOfFileBehaviorCSV ,58,58,53,58,57,58,57,43,54,55,55,57,58,55,53,58,56,44,45,44,58,57,58,59,59,58,59,58,59,58,59,45,58,58,60,58,59,60,58,60,58,59,60,73,32,53,59,59,59,57,38,59,60,27,21,0,8,34,25,59,38,47,56,59,60,59,57,54,59,60,59,56,51,53,53,54,57,57,58,59,58,35,59,48,54,59,58,60,59,60,60,60,60,59,59,47,53,58,58,48,
CSVParserTest::testEndOfFileBehaviourExcel ,65,65,60,65,64,65,64,49,61,62,62,64,65,62,60,65,63,50,52,51,65,64,65,66,66,65,66,65,66,65,66,52,65,65,67,65,66,67,65,67,65,66,67,71,38,48,66,66,66,64,35,66,67,33,20,8,0,30,23,66,43,54,63,66,67,66,64,61,66,67,66,63,58,60,60,61,64,64,65,66,65,41,66,55,61,66,65,67,66,67,67,67,67,66,66,54,60,65,65,55,
CSVParserTest::testExcelFormat1 ,80,80,73,78,80,80,80,59,77,78,78,80,80,78,76,80,78,62,64,65,80,79,80,80,79,80,80,79,80,80,80,64,78,78,80,80,80,80,80,80,80,79,80,57,41,37,79,79,79,78,37,79,80,47,38,34,30,0,30,79,48,65,76,80,80,80,77,75,80,80,80,76,71,73,73,74,77,77,78,79,79,49,79,68,74,79,78,80,79,80,80,80,80,79,79,64,73,78,78,68,
CSVParserTest::testExcelFormat2 ,53,53,46,51,53,53,53,38,50,51,51,53,53,51,49,53,51,36,39,38,53,52,53,53,52,53,53,52,53,53,53,39,51,51,53,53,53,53,53,53,53,52,53,74,26,52,52,52,52,51,26,52,53,26,17,25,23,30,0,52,31,41,49,53,53,53,50,48,53,53,53,49,44,46,46,47,50,50,51,52,52,30,52,42,47,52,51,53,52,53,53,53,53,52,52,40,46,51,51,42,
CSVParserTest::testExcelHeaderCountLessThanData ,5,5,7,5,8,4,10,31,11,10,12,6,4,14,14,5,7,17,15,16,5,6,5,3,6,4,3,3,3,4,3,15,1,1,2,4,3,2,4,2,4,0,2,117,46,102,2,2,2,4,68,1,2,34,48,59,66,79,52,0,36,14,3,2,2,2,2,10,2,2,2,8,8,6,8,5,3,3,2,2,4,31,2,11,5,2,3,2,3,2,2,2,2,2,2,15,6,2,2,11,
CSVParserTest::testForEach ,37,37,30,36,37,37,37,19,34,35,35,37,37,35,33,37,35,20,21,22,37,36,37,36,36,37,36,36,36,37,36,21,35,35,37,37,36,37,37,37,37,36,37,85,17,70,36,36,36,35,37,36,37,23,30,38,43,48,31,36,0,22,35,37,37,37,35,32,37,37,37,33,33,30,30,31,34,34,35,36,36,6,36,25,31,36,35,37,35,36,36,36,36,36,36,21,30,35,35,25,
CSVParserTest::testGetHeaderMap ,15,15,9,15,15,15,15,18,14,14,15,15,15,15,14,15,13,6,4,9,15,14,15,15,15,15,15,15,15,15,15,4,13,13,15,15,15,15,15,15,15,14,15,103,32,88,15,15,15,13,54,14,15,23,36,47,54,65,41,14,22,0,13,15,15,15,13,12,15,15,15,13,12,9,10,10,12,12,13,15,14,17,15,5,9,14,13,15,14,15,15,15,15,14,14,1,9,13,13,5,
CSVParserTest::testGetLine ,5,5,7,5,8,4,10,30,10,9,11,6,4,13,13,5,7,16,14,15,5,6,5,4,6,4,4,4,4,4,4,14,3,3,4,4,4,4,4,4,4,3,4,116,45,99,4,4,4,4,67,3,4,31,45,56,63,76,49,3,35,13,0,4,4,4,2,10,4,4,4,8,5,6,8,5,4,4,3,4,4,30,4,11,4,4,4,4,4,4,4,4,4,4,4,14,6,4,3,11,
CSVParserTest::testGetLineNumberWithCR ,4,4,8,5,7,3,9,30,10,9,10,5,3,12,12,4,6,18,16,16,4,5,4,2,5,3,1,2,2,3,1,16,2,2,2,3,2,2,2,2,3,2,2,117,46,102,2,2,2,4,68,2,2,35,49,59,66,80,53,2,37,15,4,0,2,1,3,12,0,2,1,8,9,7,8,6,4,4,3,2,2,32,2,12,6,2,3,2,3,2,2,2,2,2,2,16,7,2,2,12,
CSVParserTest::testGetLineNumberWithCRLF ,5,5,8,5,8,4,10,32,11,10,12,6,4,14,14,5,7,18,16,17,5,6,5,3,6,4,3,3,3,4,3,16,2,2,0,4,3,0,4,0,4,2,0,118,47,103,2,1,1,5,69,2,0,35,49,60,67,80,53,2,37,15,4,2,0,2,3,12,2,0,2,8,9,7,9,6,4,4,3,1,4,32,1,12,6,2,3,0,3,2,2,2,2,2,2,16,7,2,2,12,
CSVParserTest::testGetLineNumberWithLF ,4,4,8,5,7,3,9,31,10,9,11,5,3,12,13,4,6,18,16,16,4,5,4,2,5,3,2,2,1,3,2,16,2,2,2,3,1,2,3,2,2,2,2,116,46,102,2,2,2,4,68,2,2,35,49,59,66,80,53,2,37,15,4,1,2,0,3,12,1,2,0,7,9,7,8,6,4,4,3,2,3,32,2,12,6,2,3,2,3,2,2,2,2,2,2,16,7,2,2,12,
CSVParserTest::testGetOneLine ,5,5,7,5,8,4,10,30,11,10,12,6,4,14,14,5,7,16,14,15,5,6,5,3,6,4,3,3,3,4,3,14,2,2,3,4,3,3,4,3,4,2,3,116,45,100,3,3,3,4,67,2,3,32,46,57,64,77,50,2,35,13,2,3,3,3,0,10,3,3,3,8,6,5,7,4,3,3,2,3,4,30,3,11,4,3,3,3,3,3,3,3,3,3,3,14,5,3,2,11,
CSVParserTest::testGetOneLineOneParser ,11,11,9,12,12,12,12,28,12,12,11,12,12,13,13,11,10,15,13,15,11,10,11,11,12,12,11,12,11,12,11,13,10,10,12,12,11,12,12,12,12,10,12,113,42,98,12,12,12,9,64,10,12,29,43,54,61,75,48,10,32,12,10,12,12,12,10,0,12,12,12,11,10,9,9,10,9,9,9,12,11,27,12,10,10,11,10,12,10,11,11,11,11,11,11,13,9,10,10,10,
CSVParserTest::testGetRecordNumberWithCR ,4,4,8,5,7,3,9,30,10,9,10,5,3,12,12,4,6,18,16,16,4,5,4,2,5,3,1,2,2,3,1,16,2,2,2,3,2,2,2,2,3,2,2,117,46,102,2,2,2,4,68,2,2,35,49,59,66,80,53,2,37,15,4,0,2,1,3,12,0,2,1,8,9,7,8,6,4,4,3,2,2,32,2,12,6,2,3,2,3,2,2,2,2,2,2,16,7,2,2,12,
CSVParserTest::testGetRecordNumberWithCRLF ,5,5,8,5,8,4,10,32,11,10,12,6,4,14,14,5,7,18,16,17,5,6,5,3,6,4,3,3,3,4,3,16,2,2,0,4,3,0,4,0,4,2,0,118,47,103,2,1,1,5,69,2,0,35,49,60,67,80,53,2,37,15,4,2,0,2,3,12,2,0,2,8,9,7,9,6,4,4,3,1,4,32,1,12,6,2,3,0,3,2,2,2,2,2,2,16,7,2,2,12,
CSVParserTest::testGetRecordNumberWithLF ,4,4,8,5,7,3,9,31,10,9,11,5,3,12,13,4,6,18,16,16,4,5,4,2,5,3,2,2,1,3,2,16,2,2,2,3,1,2,3,2,2,2,2,116,46,102,2,2,2,4,68,2,2,35,49,59,66,80,53,2,37,15,4,1,2,0,3,12,1,2,0,7,9,7,8,6,4,4,3,2,3,32,2,12,6,2,3,2,3,2,2,2,2,2,2,16,7,2,2,12,
CSVParserTest::testGetRecordWithMultiLineValues ,8,8,7,8,8,8,10,28,11,10,12,8,8,14,14,8,7,14,14,13,8,7,8,8,8,8,8,8,7,8,8,14,8,8,8,8,7,8,8,8,7,8,8,114,43,98,7,8,8,7,65,8,8,31,45,56,63,76,49,8,33,13,8,8,8,7,8,11,8,8,7,0,9,8,9,7,7,7,7,8,7,28,8,9,8,7,6,8,7,8,8,8,8,7,7,13,8,6,7,9,
CSVParserTest::testGetRecords ,9,9,9,7,9,9,10,29,10,10,12,9,9,13,13,9,9,16,14,14,9,9,9,9,8,9,9,8,9,9,9,14,8,8,9,9,9,9,9,9,9,8,9,114,43,94,8,8,8,8,65,8,9,26,40,51,58,71,44,8,33,12,5,9,9,9,6,10,9,9,9,9,0,8,8,8,8,8,8,8,9,29,8,11,7,9,9,9,9,9,9,9,9,9,9,13,8,9,8,11,
CSVParserTest::testHeader ,7,7,6,7,8,7,10,26,10,9,11,7,7,13,13,7,6,13,10,12,7,6,7,7,7,7,7,7,7,7,7,10,5,5,7,7,7,7,7,7,7,6,7,111,40,96,7,7,7,5,62,6,7,29,42,53,60,73,46,6,30,9,6,7,7,7,5,9,7,7,7,8,8,0,2,1,4,4,5,7,7,25,7,8,2,6,6,7,6,7,7,7,7,6,6,10,0,6,5,8,
CSVParserTest::testHeaderComment ,8,8,8,9,8,8,9,25,9,8,10,8,8,12,11,8,7,14,11,13,8,7,8,8,9,7,8,8,8,8,8,11,7,7,9,8,8,9,8,9,8,8,9,110,40,96,9,9,9,5,62,8,9,30,43,53,60,73,46,8,30,10,8,8,9,8,7,9,8,9,8,9,8,2,0,3,6,6,7,9,8,25,9,9,4,8,8,9,8,9,9,9,9,8,8,10,2,8,7,9,
CSVParserTest::testHeaderMissing ,6,6,6,6,8,6,10,27,11,10,12,6,6,14,14,6,6,14,11,13,6,5,6,6,6,6,6,6,6,6,6,11,5,5,6,6,6,6,6,6,6,5,6,112,41,97,6,6,6,4,63,5,6,30,43,54,61,74,47,5,31,10,5,6,6,6,4,10,6,6,6,7,8,1,3,0,4,4,4,6,6,26,6,9,3,5,5,6,5,6,6,6,6,5,5,11,1,5,4,9,
CSVParserTest::testHeaderMissingWithNull ,4,4,4,5,8,4,10,29,10,9,11,6,4,13,13,4,5,15,13,14,4,4,4,3,6,4,3,4,3,4,3,13,2,2,4,4,3,4,4,4,4,3,4,115,44,100,4,4,4,3,66,2,4,32,46,57,64,77,50,3,34,12,4,4,4,4,3,9,4,4,4,7,8,4,6,4,0,0,1,4,4,28,4,9,4,3,3,4,2,3,3,3,3,3,3,13,4,3,2,9,
CSVParserTest::testHeadersMissing ,4,4,4,5,8,4,10,29,10,9,11,6,4,13,13,4,5,15,13,14,4,4,4,3,6,4,3,4,3,4,3,13,2,2,4,4,3,4,4,4,4,3,4,115,44,100,4,4,4,3,66,2,4,32,46,57,64,77,50,3,34,12,4,4,4,4,3,9,4,4,4,7,8,4,6,4,0,0,1,4,4,28,4,9,4,3,3,4,2,3,3,3,3,3,3,13,4,3,2,9,
CSVParserTest::testHeadersMissingException ,4,4,5,5,8,4,10,30,11,10,12,6,4,14,14,4,5,16,14,15,4,4,4,2,6,4,2,3,2,4,2,14,2,2,3,4,2,3,4,3,4,2,3,116,45,101,3,3,3,2,67,1,3,33,47,58,65,78,51,2,35,13,3,3,3,3,2,9,3,3,3,7,8,5,7,4,1,1,0,3,4,29,3,10,5,2,2,3,1,2,2,2,2,2,2,14,5,2,1,10,
CSVParserTest::testIgnoreEmptyLines ,5,5,8,4,8,4,10,32,11,10,12,6,4,14,14,5,7,18,16,17,5,6,5,3,5,4,3,2,3,4,3,16,2,2,1,4,3,1,4,1,4,2,1,118,47,102,1,0,0,5,69,2,1,34,48,59,66,79,52,2,36,15,4,2,1,2,3,12,2,1,2,8,8,7,9,6,4,4,3,0,4,32,0,12,6,2,3,1,3,2,2,2,2,2,2,16,7,2,2,12,
CSVParserTest::testInvalidFormat ,4,4,7,5,7,3,9,29,10,9,10,5,3,12,12,4,5,17,15,15,4,5,4,3,5,3,2,3,3,3,2,15,4,4,4,3,3,4,2,4,3,4,4,116,46,101,4,4,4,4,68,4,4,34,48,58,65,79,52,4,36,14,4,2,4,3,4,11,2,4,3,7,9,7,8,6,4,4,4,4,0,31,4,11,6,2,2,4,3,4,4,4,4,2,2,15,7,3,3,11,
CSVParserTest::testIterator ,31,31,24,32,32,32,32,16,29,30,30,32,32,30,30,31,29,15,16,17,31,30,31,31,32,32,31,32,31,32,31,16,30,30,32,32,31,32,32,32,32,31,32,87,16,72,32,32,32,29,39,30,32,19,28,35,41,49,30,31,6,17,30,32,32,32,30,27,32,32,32,28,29,25,25,26,28,28,29,32,31,0,32,20,26,31,30,32,30,31,31,31,31,31,31,16,25,30,30,20,
CSVParserTest::testLineFeedEndings ,5,5,8,4,8,4,10,32,11,10,12,6,4,14,14,5,7,18,16,17,5,6,5,3,5,4,3,2,3,4,3,16,2,2,1,4,3,1,4,1,4,2,1,118,47,102,1,0,0,5,69,2,1,34,48,59,66,79,52,2,36,15,4,2,1,2,3,12,2,1,2,8,8,7,9,6,4,4,3,0,4,32,0,12,6,2,3,1,3,2,2,2,2,2,2,16,7,2,2,12,
CSVParserTest::testMappedButNotSetAsOutlook2007ContactExport ,12,12,6,12,12,12,12,21,11,11,12,12,12,13,13,12,10,7,6,8,12,11,12,12,12,12,12,12,12,12,12,6,10,10,12,12,12,12,12,12,12,11,12,106,35,91,12,12,12,10,57,11,12,26,37,48,55,68,42,11,25,5,11,12,12,12,11,10,12,12,12,9,11,8,9,9,9,9,10,12,11,20,12,0,9,11,10,12,11,12,12,12,12,11,11,4,8,10,10,0,
CSVParserTest::testMultipleIterators ,6,6,7,6,8,6,10,26,10,9,11,6,6,13,12,6,7,13,10,12,6,6,6,6,6,6,6,6,6,6,6,10,4,4,6,6,6,6,6,6,6,5,6,112,41,97,6,6,6,5,63,5,6,30,43,54,61,74,47,5,31,9,4,6,6,6,4,10,6,6,6,8,7,2,4,3,4,4,5,6,6,26,6,9,0,6,6,6,6,6,6,6,6,6,6,10,2,6,5,9,
CSVParserTest::testNewCSVParserNullReaderFormat ,5,5,7,5,8,4,10,31,11,10,12,6,4,14,14,5,6,17,15,16,5,5,5,3,5,4,3,3,3,4,3,15,2,2,2,4,3,2,4,2,4,2,2,117,46,102,2,2,2,4,68,2,2,34,48,59,66,79,52,2,36,14,4,2,2,2,3,11,2,2,2,7,9,6,8,5,3,3,2,2,2,31,2,11,6,0,1,2,1,2,2,2,2,0,0,15,6,1,1,11,
CSVParserTest::testNewCSVParserReaderNullFormat ,5,5,6,5,8,4,10,30,11,10,12,6,4,14,14,5,5,16,14,15,5,5,5,3,5,4,3,3,3,4,3,14,3,3,3,4,3,3,4,3,4,3,3,116,45,101,3,3,3,4,67,3,3,33,47,58,65,78,51,3,35,13,4,3,3,3,3,10,3,3,3,6,9,6,8,5,3,3,2,3,2,30,3,10,6,1,0,3,2,3,3,3,3,1,1,14,6,1,2,10,
CSVParserTest::testNoHeaderMap ,5,5,8,5,8,4,10,32,11,10,12,6,4,14,14,5,7,18,16,17,5,6,5,3,6,4,3,3,3,4,3,16,2,2,0,4,3,0,4,0,4,2,0,118,47,103,2,1,1,5,69,2,0,35,49,60,67,80,53,2,37,15,4,2,0,2,3,12,2,0,2,8,9,7,9,6,4,4,3,1,4,32,1,12,6,2,3,0,3,2,2,2,2,2,2,16,7,2,2,12,
CSVParserTest::testParseFileNullFormat ,4,4,6,5,8,4,10,31,11,10,12,6,4,14,14,4,5,17,15,16,4,4,4,2,5,4,2,3,2,4,2,15,3,3,3,4,2,3,4,3,4,3,3,117,46,102,3,3,3,3,68,2,3,34,48,59,66,79,52,3,35,14,4,3,3,3,3,10,3,3,3,7,9,6,8,5,2,2,1,3,3,30,3,11,6,1,2,3,0,1,1,1,1,1,1,15,6,2,2,11,
CSVParserTest::testParseNullFileFormat ,4,4,7,4,8,4,10,32,11,10,12,6,4,14,14,4,6,18,16,17,4,5,4,2,5,4,2,3,2,4,2,16,2,2,2,4,2,2,4,2,4,2,2,118,47,103,2,2,2,4,69,1,2,35,49,60,67,80,53,2,36,15,4,2,2,2,3,11,2,2,2,8,9,7,9,6,3,3,2,2,4,31,2,12,6,2,3,2,1,0,0,0,0,2,2,16,7,2,2,12,
CSVParserTest::testParseNullStringFormat ,4,4,7,4,8,4,10,32,11,10,12,6,4,14,14,4,6,18,16,17,4,5,4,2,5,4,2,3,2,4,2,16,2,2,2,4,2,2,4,2,4,2,2,118,47,103,2,2,2,4,69,1,2,35,49,60,67,80,53,2,36,15,4,2,2,2,3,11,2,2,2,8,9,7,9,6,3,3,2,2,4,31,2,12,6,2,3,2,1,0,0,0,0,2,2,16,7,2,2,12,
CSVParserTest::testParseNullUrlCharsetFormat ,4,4,7,4,8,4,10,32,11,10,12,6,4,14,14,4,6,18,16,17,4,5,4,2,5,4,2,3,2,4,2,16,2,2,2,4,2,2,4,2,4,2,2,118,47,103,2,2,2,4,69,1,2,35,49,60,67,80,53,2,36,15,4,2,2,2,3,11,2,2,2,8,9,7,9,6,3,3,2,2,4,31,2,12,6,2,3,2,1,0,0,0,0,2,2,16,7,2,2,12,
CSVParserTest::testParseStringNullFormat ,4,4,7,4,8,4,10,32,11,10,12,6,4,14,14,4,6,18,16,17,4,5,4,2,5,4,2,3,2,4,2,16,2,2,2,4,2,2,4,2,4,2,2,118,47,103,2,2,2,4,69,1,2,35,49,60,67,80,53,2,36,15,4,2,2,2,3,11,2,2,2,8,9,7,9,6,3,3,2,2,4,31,2,12,6,2,3,2,1,0,0,0,0,2,2,16,7,2,2,12,
CSVParserTest::testParseUrlCharsetNullFormat ,5,5,7,5,8,4,10,31,11,10,12,6,4,14,14,5,6,17,15,16,5,5,5,3,5,4,3,3,3,4,3,15,2,2,2,4,3,2,4,2,4,2,2,117,46,102,2,2,2,4,68,2,2,34,48,59,66,79,52,2,36,14,4,2,2,2,3,11,2,2,2,7,9,6,8,5,3,3,2,2,2,31,2,11,6,0,1,2,1,2,2,2,2,0,0,15,6,1,1,11,
CSVParserTest::testParserUrlNullCharsetFormat ,5,5,7,5,8,4,10,31,11,10,12,6,4,14,14,5,6,17,15,16,5,5,5,3,5,4,3,3,3,4,3,15,2,2,2,4,3,2,4,2,4,2,2,117,46,102,2,2,2,4,68,2,2,34,48,59,66,79,52,2,36,14,4,2,2,2,3,11,2,2,2,7,9,6,8,5,3,3,2,2,2,31,2,11,6,0,1,2,1,2,2,2,2,0,0,15,6,1,1,11,
CSVParserTest::testProvidedHeader ,16,16,10,16,16,16,16,18,14,14,16,16,16,16,15,16,14,6,5,9,16,15,16,16,16,16,16,16,16,16,16,5,14,14,16,16,16,16,16,16,16,15,16,102,31,87,16,16,16,14,53,15,16,24,36,47,54,64,40,15,21,1,14,16,16,16,14,13,16,16,16,13,13,10,10,11,13,13,14,16,15,16,16,4,10,15,14,16,15,16,16,16,16,15,15,0,10,14,14,4,
