:,GLSMultipleLinearRegressionTest::cannotAddCovarianceDataThatIsNotSquare,GLSMultipleLinearRegressionTest::cannotAddCovarianceDataWithSampleSizeMismatch,GLSMultipleLinearRegressionTest::cannotAddNullCovarianceData,GLSMultipleLinearRegressionTest::cannotAddNullYSampleData,GLSMultipleLinearRegressionTest::cannotAddSampleDataWithSizeMismatch,GLSMultipleLinearRegressionTest::cannotAddXSampleData,GLSMultipleLinearRegressionTest::notEnoughData,GLSMultipleLinearRegressionTest::testGLSEfficiency,GLSMultipleLinearRegressionTest::testGLSOLSConsistency,GLSMultipleLinearRegressionTest::testNewSample2,GLSMultipleLinearRegressionTest::testYVariance,LineTest::testAbscissa,LineTest::testClosest,LineTest::testContains,LineTest::testDistance,LineTest::testIntersection,LineTest::testLineDistance,LineTest::testOffset,LineTest::testOriginOffset,LineTest::testParallel,LineTest::testPointAt,LineTest::testPointDistance,LineTest::testRevert,LineTest::testSimilar,LineTest::testTransform,LinearInterpolatorTest::testIllegalArguments,LinearInterpolatorTest::testInterpolateLinear,LinearInterpolatorTest::testInterpolateLinearDegenerateThreeSegment,LinearInterpolatorTest::testInterpolateLinearDegenerateTwoSegment,MultipleLinearRegressionAbstractTest::canEstimateRegressandVariance,MultipleLinearRegressionAbstractTest::canEstimateRegressionParameters,MultipleLinearRegressionAbstractTest::canEstimateRegressionParametersVariance,MultipleLinearRegressionAbstractTest::canEstimateResiduals,MultipleLinearRegressionAbstractTest::testNewSample,MultipleLinearRegressionAbstractTest::testNewSampleInsufficientData,MultipleLinearRegressionAbstractTest::testNewSampleInvalidData,MultipleLinearRegressionAbstractTest::testNewSampleNullData,MultipleLinearRegressionAbstractTest::testXSampleDataNull,MultipleLinearRegressionAbstractTest::testYSampleDataNull,NonLinearConjugateGradientOptimizerTest::testBoundsUnsupported,NonLinearConjugateGradientOptimizerTest::testCircleFitting,NonLinearConjugateGradientOptimizerTest::testColumnsPermutation,NonLinearConjugateGradientOptimizerTest::testIllConditioned,NonLinearConjugateGradientOptimizerTest::testInconsistentEquations,NonLinearConjugateGradientOptimizerTest::testMoreEstimatedParametersSimple,NonLinearConjugateGradientOptimizerTest::testMoreEstimatedParametersUnsorted,NonLinearConjugateGradientOptimizerTest::testNoDependency,NonLinearConjugateGradientOptimizerTest::testNonInversible,NonLinearConjugateGradientOptimizerTest::testOneSet,NonLinearConjugateGradientOptimizerTest::testRedundantEquations,NonLinearConjugateGradientOptimizerTest::testTrivial,NonLinearConjugateGradientOptimizerTest::testTwoSets,OLSMultipleLinearRegressionTest::cannotAddSampleDataWithSizeMismatch,OLSMultipleLinearRegressionTest::testHat,OLSMultipleLinearRegressionTest::testLongly,OLSMultipleLinearRegressionTest::testNewSample2,OLSMultipleLinearRegressionTest::testNewSampleDataXNull,OLSMultipleLinearRegressionTest::testNewSampleDataYNull,OLSMultipleLinearRegressionTest::testPerfectFit,OLSMultipleLinearRegressionTest::testSwissFertility,OLSMultipleLinearRegressionTest::testWampler1,OLSMultipleLinearRegressionTest::testWampler2,OLSMultipleLinearRegressionTest::testWampler3,OLSMultipleLinearRegressionTest::testWampler4,OLSMultipleLinearRegressionTest::testYVariance,SubLineTest::testEndPoints,SubLineTest::testHalfInfiniteNeg,SubLineTest::testHalfInfinitePos,SubLineTest::testIntersectionBoundaryBoundary,SubLineTest::testIntersectionBoundaryOutside,SubLineTest::testIntersectionInsideBoundary,SubLineTest::testIntersectionInsideInside,SubLineTest::testIntersectionInsideOutside,SubLineTest::testIntersectionOutsideOutside,SubLineTest::testNoEndPoints,SubLineTest::testNoSegments,SubLineTest::testSeveralSegments,
OLSMultipleLinearRegressionTest::testNewSampleDataXNull ,73,48,1,3,21,1,18,59,15,76,4,10,69,15,6,10,47,6,13,21,10,14,4,7,22,68,53,76,58,4,4,4,4,142,16,16,4,3,3,62,35,89,272,88,111,215,258,102,110,90,46,259,21,346,677,76,0,4,80,1386,289,284,279,279,4,12,22,22,16,12,16,18,12,12,29,8,9,
OLSMultipleLinearRegressionTest::testNewSampleDataYNull ,75,50,4,1,24,4,19,61,15,78,2,10,69,14,6,10,47,6,13,20,10,14,4,6,22,70,55,78,60,3,3,3,3,144,17,17,2,1,1,64,37,91,274,90,113,217,260,104,112,92,48,261,23,348,679,78,4,0,82,1388,291,286,281,281,2,12,22,22,15,11,15,17,11,11,29,8,9,
OLSMultipleLinearRegressionTest::testPerfectFit ,49,51,79,82,64,80,76,69,74,37,81,74,58,73,77,74,57,77,74,68,78,73,79,76,68,41,45,45,44,80,82,82,82,85,66,66,81,83,83,54,58,55,210,54,59,143,183,54,60,55,57,185,64,287,609,37,80,82,0,1322,226,221,218,218,81,73,71,71,72,74,72,71,74,74,72,77,75,
OLSMultipleLinearRegressionTest::testSwissFertility ,1337,1351,1385,1388,1367,1386,1379,1347,1376,1321,1387,1379,1354,1375,1383,1379,1361,1383,1377,1371,1382,1377,1385,1382,1375,1337,1347,1333,1346,1385,1387,1387,1387,1263,1371,1371,1387,1389,1389,1341,1359,1327,1219,1329,1308,1256,1241,1319,1316,1328,1352,1237,1367,1057,746,1321,1386,1388,1322,0,1170,1167,1167,1167,1387,1376,1372,1373,1375,1378,1375,1373,1378,1378,1374,1381,1380,
OLSMultipleLinearRegressionTest::testWampler1 ,244,255,288,291,271,289,285,256,279,231,290,282,254,279,286,282,262,286,280,273,286,280,288,285,275,241,252,238,248,289,292,292,292,180,274,274,290,292,292,255,266,242,201,245,226,175,170,231,230,244,262,180,271,161,459,232,289,291,226,1170,0,5,10,10,290,281,277,276,279,281,279,277,281,281,277,285,284,
OLSMultipleLinearRegressionTest::testWampler2 ,239,251,283,286,266,284,280,251,274,226,285,277,249,274,281,277,257,281,275,269,281,275,283,280,271,238,247,233,244,284,287,287,287,175,269,269,285,287,287,250,261,237,198,240,221,170,165,226,225,239,257,175,266,161,454,227,284,286,221,1167,5,0,15,15,285,276,272,271,274,276,274,272,276,276,272,280,279,
OLSMultipleLinearRegressionTest::testWampler3 ,238,249,278,281,262,279,275,246,269,223,280,273,248,269,276,272,255,276,271,264,276,272,278,275,267,234,243,232,241,279,282,282,282,172,264,264,280,282,282,245,256,236,197,235,217,170,175,226,224,234,254,173,262,160,455,224,279,281,218,1167,10,15,0,0,280,271,268,267,269,272,269,268,272,272,268,275,274,
OLSMultipleLinearRegressionTest::testWampler4 ,238,249,278,281,262,279,275,246,269,223,280,273,248,269,276,272,255,276,271,264,276,272,278,275,267,234,243,232,241,279,282,282,282,172,264,264,280,282,282,245,256,236,197,235,217,170,175,226,224,234,254,173,262,160,455,224,279,281,218,1167,10,15,0,0,280,271,268,267,269,272,269,268,272,272,268,275,274,
OLSMultipleLinearRegressionTest::testYVariance ,74,49,5,3,23,5,20,61,15,78,0,8,67,13,5,8,45,5,11,19,8,12,2,6,20,69,54,77,59,4,3,3,3,143,17,17,3,2,2,63,37,90,273,90,112,216,259,103,111,92,47,260,22,347,678,78,4,2,81,1387,290,285,280,280,0,11,21,21,14,10,14,16,10,10,28,7,8,
SubLineTest::testEndPoints ,65,42,12,12,20,13,18,54,13,70,11,7,60,8,8,8,38,8,9,11,9,9,9,7,14,60,46,70,52,11,12,12,12,134,15,15,13,13,13,55,29,81,264,82,103,207,250,94,102,84,40,251,19,337,668,70,12,12,73,1376,281,276,271,271,11,2,11,11,8,7,8,8,7,7,22,7,6,
SubLineTest::testHalfInfiniteNeg ,60,39,21,22,21,22,19,55,20,67,21,17,59,17,18,19,37,18,19,17,17,16,19,16,17,56,44,65,49,20,22,22,22,130,20,20,23,23,23,52,29,76,258,77,99,201,242,90,96,79,38,244,20,337,664,67,22,22,71,1372,277,272,268,268,21,11,7,8,17,17,17,16,17,17,14,17,17,
SubLineTest::testHalfInfinitePos ,61,40,21,22,21,22,19,54,20,67,21,17,59,16,18,19,37,18,18,15,18,17,19,16,17,57,43,65,49,19,22,22,22,129,20,21,23,23,23,54,29,77,258,76,98,200,242,89,96,79,39,243,21,337,664,67,22,22,71,1373,276,271,267,267,21,11,8,7,15,16,15,15,16,16,13,17,17,
SubLineTest::testIntersectionBoundaryBoundary ,63,39,16,16,19,16,19,55,16,70,14,8,55,5,10,7,33,10,6,7,10,7,12,9,10,56,45,66,49,13,16,16,16,133,13,14,16,16,16,55,29,79,263,77,100,202,250,91,99,79,40,247,18,337,667,70,16,15,72,1375,279,274,269,269,14,8,17,15,5,4,0,4,4,4,23,10,8,
SubLineTest::testIntersectionBoundaryOutside ,64,41,12,12,19,12,19,55,14,71,10,5,59,5,6,4,37,6,5,9,6,7,8,5,12,59,46,69,51,9,12,12,12,135,12,13,12,12,12,56,30,80,264,80,103,206,252,93,101,82,41,250,18,340,670,71,12,11,74,1378,281,276,272,272,10,7,17,16,4,3,4,6,0,0,24,6,6,
SubLineTest::testIntersectionInsideBoundary ,63,39,16,16,19,16,19,55,16,70,14,8,55,5,10,7,33,10,6,7,10,7,12,9,10,56,45,66,49,13,16,16,16,133,13,14,16,16,16,55,29,79,263,77,100,202,250,91,99,79,40,247,18,337,667,70,16,15,72,1375,279,274,269,269,14,8,17,15,0,4,5,4,4,4,23,10,8,
SubLineTest::testIntersectionInsideInside ,61,38,18,18,18,18,19,55,17,69,16,9,53,7,12,9,31,12,8,8,12,8,14,11,8,56,44,65,48,15,18,18,18,133,16,16,18,18,18,54,29,78,261,76,99,200,248,90,97,78,39,245,18,335,666,69,18,17,71,1373,277,272,268,268,16,8,16,15,4,6,4,5,6,6,22,12,10,
SubLineTest::testIntersectionInsideOutside ,64,41,12,12,19,12,19,55,14,71,10,5,59,5,6,4,37,6,5,9,6,7,8,5,12,59,46,69,51,9,12,12,12,135,12,13,12,12,12,56,30,80,264,80,103,206,252,93,101,82,41,250,18,340,670,71,12,11,74,1378,281,276,272,272,10,7,17,16,4,0,4,6,3,0,24,6,6,
SubLineTest::testIntersectionOutsideOutside ,64,41,12,12,19,12,19,55,14,71,10,5,59,5,6,4,37,6,5,9,6,7,8,5,12,59,46,69,51,9,12,12,12,135,12,13,12,12,12,56,30,80,264,80,103,206,252,93,101,82,41,250,18,340,670,71,12,11,74,1378,281,276,272,272,10,7,17,16,4,0,4,6,0,3,24,6,6,
SubLineTest::testNoEndPoints ,59,39,28,29,24,29,23,57,28,67,28,25,61,24,27,27,39,27,26,23,24,23,26,25,23,54,42,64,47,26,29,29,29,131,27,28,30,30,30,53,30,76,254,77,100,200,241,89,96,79,38,241,24,339,666,67,29,29,72,1374,277,272,268,268,28,22,14,13,23,24,23,22,24,24,13,27,27,
SubLineTest::testNoSegments ,70,45,8,8,21,8,20,56,14,73,7,5,63,9,3,5,41,3,7,15,6,10,5,3,16,65,50,73,55,8,7,7,7,138,14,14,8,8,8,59,32,86,269,85,108,212,255,99,107,87,43,256,20,342,673,73,8,8,77,1381,285,280,275,275,7,7,17,17,10,6,10,12,6,6,27,1,2,
SubLineTest::testSeveralSegments ,68,43,9,9,20,9,20,55,14,72,8,5,61,8,4,5,39,4,6,13,6,8,6,4,14,63,48,71,53,9,8,8,8,137,14,14,9,9,9,58,31,84,267,83,106,210,254,97,105,85,42,254,19,341,672,72,9,9,75,1380,284,279,274,274,8,6,17,17,8,6,8,10,6,6,27,2,1,
