:,BigFractionFieldTest::testOne,BigFractionFieldTest::testSerial,BigFractionFieldTest::testZero,BigFractionFormatTest::testDenominatorFormat,BigFractionFormatTest::testDoubleFormat,BigFractionFormatTest::testFormat,BigFractionFormatTest::testFormatImproper,BigFractionFormatTest::testFormatImproperNegative,BigFractionFormatTest::testFormatNegative,BigFractionFormatTest::testFormatZero,BigFractionFormatTest::testLongFormat,BigFractionFormatTest::testNumeratorFormat,BigFractionFormatTest::testParse,BigFractionFormatTest::testParseBig,BigFractionFormatTest::testParseInteger,BigFractionFormatTest::testParseInvalid,BigFractionFormatTest::testParseInvalidDenominator,BigFractionFormatTest::testParseNegative,BigFractionFormatTest::testParseProper,BigFractionFormatTest::testParseProperInvalidMinus,BigFractionFormatTest::testParseProperNegative,BigFractionFormatTest::testWholeFormat,BigFractionTest::testAbs,BigFractionTest::testAdd,BigFractionTest::testBigDecimalValue,BigFractionTest::testCompareTo,BigFractionTest::testConstructor,BigFractionTest::testConstructorDouble,BigFractionTest::testDigitLimitConstructor,BigFractionTest::testDivide,BigFractionTest::testDoubleConstructor,BigFractionTest::testDoubleValue,BigFractionTest::testDoubleValueForLargeNumeratorAndDenominator,BigFractionTest::testEpsilonLimitConstructor,BigFractionTest::testEqualsAndHashCode,BigFractionTest::testFloatValue,BigFractionTest::testFloatValueForLargeNumeratorAndDenominator,BigFractionTest::testGetReducedFraction,BigFractionTest::testGoldenRatio,BigFractionTest::testIntValue,BigFractionTest::testLongValue,BigFractionTest::testMath340,BigFractionTest::testMultiply,BigFractionTest::testNegate,BigFractionTest::testPercentage,BigFractionTest::testPow,BigFractionTest::testReciprocal,BigFractionTest::testSerial,BigFractionTest::testSubtract,ContinuedFractionTest::testGoldenRatio,FractionFieldTest::testOne,FractionFieldTest::testSerial,FractionFieldTest::testZero,FractionFormatTest::testDenominatorFormat,FractionFormatTest::testDoubleFormat,FractionFormatTest::testFormat,FractionFormatTest::testFormatImproper,FractionFormatTest::testFormatImproperNegative,FractionFormatTest::testFormatNegative,FractionFormatTest::testFormatZero,FractionFormatTest::testLongFormat,FractionFormatTest::testNumeratorFormat,FractionFormatTest::testParse,FractionFormatTest::testParseInteger,FractionFormatTest::testParseInvalid,FractionFormatTest::testParseInvalidDenominator,FractionFormatTest::testParseNegative,FractionFormatTest::testParseOne1,FractionFormatTest::testParseOne2,FractionFormatTest::testParseProper,FractionFormatTest::testParseProperInvalidMinus,FractionFormatTest::testParseProperNegative,FractionFormatTest::testParseZero1,FractionFormatTest::testParseZero2,FractionFormatTest::testWholeFormat,FractionTest::testAbs,FractionTest::testAdd,FractionTest::testCompareTo,FractionTest::testConstructor,FractionTest::testConstructorDouble,FractionTest::testDigitLimitConstructor,FractionTest::testDivide,FractionTest::testDoubleConstructor,FractionTest::testDoubleValue,FractionTest::testEpsilonLimitConstructor,FractionTest::testEqualsAndHashCode,FractionTest::testFloatValue,FractionTest::testGetReducedFraction,FractionTest::testGoldenRatio,FractionTest::testIntValue,FractionTest::testIntegerOverflow,FractionTest::testLongValue,FractionTest::testMath835,FractionTest::testMultiply,FractionTest::testNegate,FractionTest::testPercentage,FractionTest::testReciprocal,FractionTest::testSerial,FractionTest::testSubtract,FractionTest::testToString,
BigFractionTest::testSubtract ,39,37,39,37,39,36,37,36,37,36,39,37,39,35,39,38,38,33,37,38,37,38,34,44,25,25,76,29,37,33,222,33,37,39,29,33,37,28,36,31,33,36,22,28,36,40,28,33,0,38,39,37,39,37,39,36,37,36,37,36,39,37,35,34,38,38,33,36,36,37,38,37,36,37,38,34,40,25,49,29,37,35,141,33,39,29,33,28,36,31,39,33,36,21,28,36,28,33,23,33,
ContinuedFractionTest::testGoldenRatio ,2,2,2,2,2,2,2,3,2,2,2,2,2,6,2,2,2,8,3,2,3,2,26,76,19,21,94,34,40,56,247,6,5,44,13,7,6,16,6,9,7,2,28,17,2,51,27,35,38,0,2,2,2,2,2,2,2,3,2,2,2,2,6,6,2,2,8,4,4,3,2,3,4,6,2,26,73,21,63,31,40,57,165,6,44,13,7,16,6,9,2,7,2,31,19,2,27,35,61,11,
FractionFieldTest::testOne ,0,2,0,2,0,3,3,4,3,3,0,2,0,7,0,2,2,8,3,2,3,1,27,77,20,23,96,35,41,57,248,8,6,45,15,8,7,17,7,10,8,3,29,18,3,52,28,36,39,2,0,2,0,2,0,3,3,4,3,3,0,2,6,6,2,2,8,4,4,3,2,3,4,7,1,27,74,23,64,32,41,58,166,8,45,15,8,17,7,10,0,8,3,32,20,3,28,36,62,12,
FractionFieldTest::testSerial ,2,0,2,1,2,2,3,4,3,2,2,1,2,7,2,2,2,8,3,2,3,1,27,75,19,22,94,33,41,55,247,7,6,45,13,7,7,15,7,9,7,3,28,18,2,51,27,34,37,2,2,0,2,1,2,2,3,4,3,2,2,1,6,6,2,2,8,4,4,3,2,3,4,7,1,27,73,22,62,31,41,56,165,7,45,13,7,15,7,9,2,7,2,31,20,2,27,34,60,11,
FractionFieldTest::testZero ,0,2,0,2,0,3,3,4,3,3,0,2,0,7,0,2,2,8,3,2,3,1,27,77,20,23,96,35,41,57,248,8,6,45,15,8,7,17,7,10,8,3,29,18,3,52,28,36,39,2,0,2,0,2,0,3,3,4,3,3,0,2,6,6,2,2,8,4,4,3,2,3,4,7,1,27,74,23,64,32,41,58,166,8,45,15,8,17,7,10,0,8,3,32,20,3,28,36,62,12,
FractionFormatTest::testDenominatorFormat ,2,1,2,0,2,2,3,4,3,2,2,0,2,7,2,2,2,8,3,2,3,1,27,75,18,21,94,33,41,55,246,6,6,45,13,6,7,15,7,9,7,3,27,18,2,52,27,35,37,2,2,1,2,0,2,2,3,4,3,2,2,0,6,6,2,2,8,4,4,3,2,3,4,7,1,27,72,21,62,30,41,56,164,6,45,13,6,15,7,9,2,7,1,30,19,2,27,35,60,12,
FractionFormatTest::testDoubleFormat ,0,2,0,2,0,3,3,4,3,3,0,2,0,7,0,2,2,8,3,2,3,1,27,77,20,23,96,35,41,57,248,8,6,45,15,8,7,17,7,10,8,3,29,18,3,52,28,36,39,2,0,2,0,2,0,3,3,4,3,3,0,2,6,6,2,2,8,4,4,3,2,3,4,7,1,27,74,23,64,32,41,58,166,8,45,15,8,17,7,10,0,8,3,32,20,3,28,36,62,12,
FractionFormatTest::testFormat ,3,2,3,2,3,0,2,3,1,2,3,2,3,6,3,3,3,8,3,3,3,2,26,74,17,20,93,32,39,54,245,5,6,44,12,5,6,14,6,7,5,2,26,17,0,50,26,33,36,2,3,2,3,2,3,0,2,3,1,2,3,2,6,6,3,3,8,4,4,3,3,3,4,7,2,26,71,20,61,29,39,55,163,5,44,12,5,14,6,7,3,5,2,29,19,0,26,33,59,10,
FractionFormatTest::testFormatImproper ,3,3,3,3,3,2,0,2,2,2,3,3,3,5,3,3,3,8,3,3,3,3,26,75,18,21,94,33,38,55,245,6,6,43,14,6,6,15,6,8,6,2,27,17,2,50,26,34,37,2,3,3,3,3,3,2,0,2,2,2,3,3,6,6,3,3,8,4,4,3,3,3,4,7,3,26,71,21,62,30,38,55,163,6,43,14,6,15,6,8,3,6,3,30,19,2,26,34,59,10,
FractionFormatTest::testFormatImproperNegative ,4,4,4,4,4,3,2,0,3,3,4,4,4,4,4,4,4,8,4,4,4,4,25,74,17,21,94,33,38,55,245,6,6,42,14,6,7,15,5,8,6,3,27,16,3,49,25,33,36,3,4,4,4,4,4,3,2,0,3,3,4,4,6,6,4,4,8,4,4,4,4,4,4,7,4,25,71,21,62,29,38,55,163,6,42,14,6,15,5,8,4,6,4,29,18,3,25,33,59,10,
FractionFormatTest::testFormatNegative ,3,3,3,3,3,1,2,3,0,2,3,3,3,6,3,3,3,8,3,3,3,3,26,75,18,21,93,32,39,55,246,6,6,44,13,6,6,14,6,8,6,2,27,17,1,50,27,34,37,2,3,3,3,3,3,1,2,3,0,2,3,3,6,6,3,3,8,4,4,3,3,3,4,7,3,26,71,21,61,29,39,56,164,6,44,13,6,14,6,8,3,6,3,30,19,1,27,34,59,10,
FractionFormatTest::testFormatZero ,3,2,3,2,3,2,2,3,2,0,3,2,3,6,3,3,3,8,3,3,3,2,26,74,18,21,93,32,40,54,246,6,6,44,12,6,6,14,6,9,7,2,27,17,2,50,25,33,36,2,3,2,3,2,3,2,2,3,2,0,3,2,6,6,3,3,8,4,4,3,3,3,4,7,2,26,72,21,61,31,40,55,164,6,44,12,6,14,6,9,3,7,2,30,18,2,25,33,59,10,
FractionFormatTest::testLongFormat ,0,2,0,2,0,3,3,4,3,3,0,2,0,7,0,2,2,8,3,2,3,1,27,77,20,23,96,35,41,57,248,8,6,45,15,8,7,17,7,10,8,3,29,18,3,52,28,36,39,2,0,2,0,2,0,3,3,4,3,3,0,2,6,6,2,2,8,4,4,3,2,3,4,7,1,27,74,23,64,32,41,58,166,8,45,15,8,17,7,10,0,8,3,32,20,3,28,36,62,12,
FractionFormatTest::testNumeratorFormat ,2,1,2,0,2,2,3,4,3,2,2,0,2,7,2,2,2,8,3,2,3,1,27,75,18,21,94,33,41,55,246,6,6,45,13,6,7,15,7,9,7,3,27,18,2,52,27,35,37,2,2,1,2,0,2,2,3,4,3,2,2,0,6,6,2,2,8,4,4,3,2,3,4,7,1,27,72,21,62,30,41,56,164,6,45,13,6,15,7,9,2,7,1,30,19,2,27,35,60,12,
FractionFormatTest::testParse ,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,4,4,6,4,6,25,71,20,18,96,34,41,51,246,8,6,45,13,8,7,15,7,8,8,6,23,14,6,52,23,36,35,6,6,6,6,6,6,6,6,6,6,6,6,6,0,2,6,6,4,2,2,4,6,4,3,5,6,25,68,18,64,32,41,52,164,8,45,13,8,15,7,8,6,8,6,28,16,6,23,36,57,12,
FractionFormatTest::testParseInteger ,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,4,4,6,4,6,25,71,20,17,96,33,41,51,246,8,6,45,13,8,7,15,7,7,8,6,23,14,6,52,23,36,34,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,6,6,4,2,2,4,6,4,3,4,6,25,68,17,64,32,41,52,164,8,45,13,8,15,7,7,6,8,6,28,16,6,23,36,56,12,
FractionFormatTest::testParseInvalid ,2,2,2,2,2,3,3,4,3,3,2,2,2,7,2,0,0,8,2,0,2,2,27,76,20,23,94,34,41,55,248,8,6,45,15,8,7,16,6,10,8,3,28,18,3,52,28,36,38,2,2,2,2,2,2,3,3,4,3,3,2,2,6,6,0,0,8,4,4,2,0,2,4,7,2,27,73,23,62,32,41,56,166,8,45,15,8,16,6,10,2,8,3,31,20,3,28,36,61,12,
FractionFormatTest::testParseInvalidDenominator ,2,2,2,2,2,3,3,4,3,3,2,2,2,7,2,0,0,8,2,0,2,2,27,76,20,23,94,34,41,55,248,8,6,45,15,8,7,16,6,10,8,3,28,18,3,52,28,36,38,2,2,2,2,2,2,3,3,4,3,3,2,2,6,6,0,0,8,4,4,2,0,2,4,7,2,27,73,23,62,32,41,56,166,8,45,15,8,16,6,10,2,8,3,31,20,3,28,36,61,12,
FractionFormatTest::testParseNegative ,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,6,8,6,8,27,69,20,17,96,35,41,49,248,8,8,45,13,8,8,15,8,8,8,8,23,12,8,52,20,36,33,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,8,8,0,6,6,6,8,6,6,6,8,27,66,17,64,32,41,50,166,8,45,13,8,15,8,8,8,8,8,28,14,8,20,36,54,12,
FractionFormatTest::testParseOne1 ,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,6,3,4,3,4,25,73,20,19,96,33,41,53,246,8,6,45,14,8,7,15,7,7,8,4,25,16,4,52,25,36,36,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,6,0,0,3,4,3,1,4,4,25,70,19,64,32,41,54,164,8,45,14,8,15,7,7,4,8,4,29,18,4,25,36,58,12,
FractionFormatTest::testParseOne2 ,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,6,3,4,3,4,25,73,20,19,96,33,41,53,246,8,6,45,14,8,7,15,7,7,8,4,25,16,4,52,25,36,36,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,6,0,0,3,4,3,1,4,4,25,70,19,64,32,41,54,164,8,45,14,8,15,7,7,4,8,4,29,18,4,25,36,58,12,
FractionFormatTest::testParseProper ,3,3,3,3,3,3,3,4,3,3,3,3,3,7,3,2,2,6,0,2,0,3,27,74,20,21,95,34,41,54,248,8,6,45,13,8,7,16,6,9,8,3,26,16,3,52,26,36,37,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,2,2,6,3,3,0,2,0,3,5,3,27,71,21,63,32,41,55,166,8,45,13,8,16,6,9,3,8,3,29,18,3,26,36,60,12,
FractionFormatTest::testParseProperInvalidMinus ,2,2,2,2,2,3,3,4,3,3,2,2,2,7,2,0,0,8,2,0,2,2,27,76,20,23,94,34,41,55,248,8,6,45,15,8,7,16,6,10,8,3,28,18,3,52,28,36,38,2,2,2,2,2,2,3,3,4,3,3,2,2,6,6,0,0,8,4,4,2,0,2,4,7,2,27,73,23,62,32,41,56,166,8,45,15,8,16,6,10,2,8,3,31,20,3,28,36,61,12,
FractionFormatTest::testParseProperNegative ,3,3,3,3,3,3,3,4,3,3,3,3,3,7,3,2,2,6,0,2,0,3,27,74,20,21,95,34,41,54,248,8,6,45,13,8,7,16,6,9,8,3,26,16,3,52,26,36,37,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,2,2,6,3,3,0,2,0,3,5,3,27,71,21,63,32,41,55,166,8,45,13,8,16,6,9,3,8,3,29,18,3,26,36,60,12,
FractionFormatTest::testParseZero1 ,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,6,3,4,3,4,26,73,20,19,95,34,40,54,246,8,6,45,14,8,7,15,7,6,8,4,25,16,4,51,25,36,36,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,6,1,1,3,4,3,0,3,4,26,71,19,64,32,40,55,164,8,45,14,8,15,7,6,4,8,4,28,18,4,25,36,59,12,
FractionFormatTest::testParseZero2 ,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,7,5,7,26,74,20,18,93,34,40,54,246,7,7,45,14,8,7,16,7,9,8,7,25,16,7,51,26,36,37,6,7,7,7,7,7,7,7,7,7,7,7,7,5,4,7,7,6,4,4,5,7,5,3,0,7,26,71,18,63,32,40,54,164,7,45,14,8,16,7,9,7,8,7,27,18,7,26,36,59,12,
FractionFormatTest::testWholeFormat ,1,1,1,1,1,2,3,4,3,2,1,1,1,7,1,2,2,8,3,2,3,0,27,76,19,22,95,34,41,56,247,7,6,45,14,7,7,16,7,9,7,3,28,18,2,52,27,35,38,2,1,1,1,1,1,2,3,4,3,2,1,1,6,6,2,2,8,4,4,3,2,3,4,7,0,27,73,22,63,31,41,57,165,7,45,14,7,16,7,9,1,7,2,31,19,2,27,35,61,12,
FractionTest::testAbs ,27,27,27,27,27,26,26,25,26,26,27,27,27,24,27,27,27,27,27,27,27,27,0,67,23,24,82,31,32,48,229,25,25,34,24,25,25,24,25,24,24,24,26,22,26,47,22,31,34,26,27,27,27,27,27,26,26,25,26,26,27,27,25,25,27,27,27,25,25,27,27,27,26,26,27,0,65,24,57,24,32,48,147,25,34,24,25,24,25,24,27,24,26,26,22,26,22,31,55,21,
FractionTest::testAdd ,74,73,74,72,74,71,71,71,71,72,74,72,74,70,74,73,73,66,71,73,71,73,65,24,58,56,72,56,65,45,207,68,70,62,64,68,70,63,71,66,68,71,53,62,71,56,57,59,40,73,74,73,74,72,74,71,71,71,71,72,74,72,68,68,73,73,66,70,70,71,73,71,71,71,73,65,0,56,57,59,65,46,126,68,62,64,68,63,71,66,74,68,71,53,60,71,57,59,32,68,
FractionTest::testCompareTo ,23,22,23,21,23,20,21,21,21,21,23,21,23,22,23,23,23,17,21,23,21,22,24,59,17,0,85,28,34,39,233,16,21,40,17,17,21,19,22,13,15,20,15,18,20,42,20,29,25,21,23,22,23,21,23,20,21,21,21,21,23,21,18,17,23,23,17,19,19,21,23,21,19,18,22,24,56,0,54,25,34,41,151,16,40,17,17,19,22,13,23,15,20,21,18,20,20,29,47,18,
FractionTest::testConstructor ,64,62,64,62,64,61,62,62,61,61,64,62,64,61,64,62,62,64,63,62,63,63,57,63,51,54,38,47,52,50,215,59,62,54,53,59,62,56,61,59,59,61,52,58,61,48,55,48,49,63,64,62,64,62,64,61,62,62,61,61,64,62,64,64,62,62,64,64,64,63,62,63,64,63,63,57,57,54,0,47,52,47,134,59,54,53,59,56,61,59,64,59,61,49,56,61,55,48,48,56,
FractionTest::testConstructorDouble ,32,31,32,30,32,29,30,29,29,31,32,30,32,28,32,32,32,32,32,32,32,31,24,62,23,25,77,25,30,45,224,27,28,31,28,27,28,27,30,27,27,29,26,26,29,38,27,29,29,31,32,31,32,30,32,29,30,29,29,31,32,30,32,32,32,32,32,32,32,32,32,32,32,32,31,24,59,25,47,0,30,46,146,27,31,28,27,27,30,27,32,27,29,26,26,29,27,29,49,24,
FractionTest::testDigitLimitConstructor ,41,41,41,41,41,39,38,38,39,40,41,41,41,37,41,41,41,41,41,41,41,41,32,68,33,34,79,33,0,47,225,37,37,21,37,37,37,36,38,36,36,38,33,34,39,39,32,33,37,40,41,41,41,41,41,39,38,38,39,40,41,41,41,41,41,41,41,41,41,41,41,41,40,40,41,32,65,34,52,30,0,47,144,37,21,37,37,36,38,36,41,36,40,33,33,39,32,33,53,34,
FractionTest::testDivide ,58,56,58,56,58,55,55,55,56,55,58,56,58,54,58,56,56,50,55,56,55,57,48,45,44,41,72,42,47,10,209,52,56,49,47,52,56,48,55,49,51,55,35,47,55,43,44,45,35,57,58,56,58,56,58,55,55,55,56,55,58,56,52,52,56,56,50,54,54,55,56,55,55,54,57,48,46,41,47,46,47,0,127,52,49,47,52,48,55,49,58,51,55,28,46,55,44,45,35,50,
FractionTest::testDoubleConstructor ,166,165,166,164,166,163,163,163,164,164,166,164,166,162,166,166,166,166,166,166,166,165,147,131,148,151,121,141,144,130,82,160,164,145,158,158,164,156,164,158,158,163,146,159,163,135,152,145,141,165,166,165,166,164,166,163,163,163,164,164,166,164,164,164,166,166,166,164,164,166,166,166,164,164,165,147,126,151,134,146,144,127,0,160,145,158,158,156,164,158,166,158,163,143,157,163,152,145,130,157,
FractionTest::testDoubleValue ,8,7,8,6,8,5,6,6,6,6,8,6,8,7,8,8,8,8,8,8,8,7,25,71,14,16,89,31,37,51,242,0,8,43,10,2,8,14,7,6,4,6,23,16,5,48,25,32,33,6,8,7,8,6,8,5,6,6,6,6,8,6,8,8,8,8,8,8,8,8,8,8,8,7,7,25,68,16,59,27,37,52,160,0,43,10,2,14,7,6,8,4,5,26,18,5,25,32,56,9,
FractionTest::testEpsilonLimitConstructor ,45,45,45,45,45,44,43,42,44,44,45,45,45,42,45,45,45,45,45,45,45,45,34,65,38,40,78,38,21,48,220,43,41,0,42,43,41,40,43,43,43,42,40,38,44,42,37,36,39,44,45,45,45,45,45,44,43,42,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,34,62,40,54,31,21,49,145,43,0,42,43,40,43,43,45,43,44,39,37,44,37,36,53,38,
FractionTest::testEqualsAndHashCode ,15,13,15,13,15,12,14,14,13,12,15,13,15,13,15,15,15,13,13,15,13,14,24,66,13,17,85,30,37,47,240,10,13,42,0,10,13,14,14,10,11,12,24,15,12,47,22,30,29,13,15,13,15,13,15,12,14,14,13,12,15,13,13,13,15,15,13,14,14,13,15,13,14,14,14,24,64,17,53,28,37,47,158,10,42,0,10,14,14,10,15,11,12,26,15,12,22,30,51,11,
FractionTest::testFloatValue ,8,7,8,6,8,5,6,6,6,6,8,6,8,7,8,8,8,8,8,8,8,7,25,71,14,17,89,31,37,51,240,2,8,43,10,0,8,14,7,6,4,6,23,16,5,48,25,32,33,7,8,7,8,6,8,5,6,6,6,6,8,6,8,8,8,8,8,8,8,8,8,8,8,8,7,25,68,17,59,27,37,52,158,2,43,10,0,14,7,6,8,4,5,26,18,5,25,32,56,9,
FractionTest::testGetReducedFraction ,17,15,17,15,17,14,15,15,14,14,17,15,17,15,17,16,16,15,16,16,16,16,24,65,16,19,87,29,36,47,238,14,17,40,14,14,17,0,14,13,14,16,22,14,14,47,22,30,28,16,17,15,17,15,17,14,15,15,14,14,17,15,15,15,16,16,15,15,15,16,16,16,15,16,16,24,63,19,56,27,36,48,156,14,40,14,14,0,14,13,17,14,15,25,16,14,22,30,51,14,
FractionTest::testGoldenRatio ,7,7,7,7,7,6,6,5,6,6,7,7,7,6,7,6,6,8,6,6,6,7,25,74,18,22,92,33,38,54,246,7,7,43,14,7,7,14,0,9,7,6,26,16,6,50,26,34,36,6,7,7,7,7,7,6,6,5,6,6,7,7,7,7,6,6,8,7,7,6,6,6,7,7,7,25,71,22,61,30,38,55,164,7,43,14,7,14,0,9,7,7,7,29,18,6,26,34,59,10,
FractionTest::testIntValue ,10,9,10,9,10,7,8,8,8,9,10,9,10,9,10,10,10,8,9,10,9,9,24,68,15,13,91,29,36,48,240,6,10,43,10,6,10,13,9,0,2,8,20,14,7,46,22,30,31,9,10,9,10,9,10,7,8,8,8,9,10,9,8,7,10,10,8,7,7,9,10,9,6,9,9,24,66,13,59,27,36,49,158,6,43,10,6,13,9,0,10,2,8,23,16,7,22,30,54,8,
FractionTest::testIntegerOverflow ,0,2,0,2,0,3,3,4,3,3,0,2,0,7,0,2,2,8,3,2,3,1,27,77,20,23,96,35,41,57,248,8,6,45,15,8,7,17,7,10,8,3,29,18,3,52,28,36,39,2,0,2,0,2,0,3,3,4,3,3,0,2,6,6,2,2,8,4,4,3,2,3,4,7,1,27,74,23,64,32,41,58,166,8,45,15,8,17,7,10,0,8,3,32,20,3,28,36,62,12,
FractionTest::testLongValue ,8,7,8,7,8,5,6,6,6,7,8,7,8,7,8,8,8,8,8,8,8,7,24,70,15,15,91,29,36,50,240,4,8,43,11,4,8,14,7,2,0,6,22,16,5,46,24,30,33,7,8,7,8,7,8,5,6,6,6,7,8,7,8,8,8,8,8,8,8,8,8,8,8,8,7,24,68,15,59,27,36,51,158,4,43,11,4,14,7,2,8,0,6,25,18,5,24,30,56,8,
FractionTest::testMath835 ,3,2,3,1,3,2,3,4,3,2,3,1,3,6,3,3,3,8,3,3,3,2,26,74,17,20,93,32,40,54,245,5,5,44,12,5,6,15,7,8,6,2,26,17,2,51,26,34,36,2,3,2,3,1,3,2,3,4,3,2,3,1,6,6,3,3,8,4,4,3,3,3,4,7,2,26,71,20,61,29,40,55,163,5,44,12,5,15,7,8,3,6,0,29,18,2,26,34,59,11,
FractionTest::testMultiply ,32,31,32,30,32,29,30,29,30,30,32,30,32,28,32,31,31,28,29,31,29,31,26,56,22,21,79,28,33,33,225,26,30,39,26,26,30,25,29,23,25,29,11,24,29,40,24,29,21,31,32,31,32,30,32,29,30,29,30,30,32,30,28,28,31,31,28,29,29,29,31,29,28,27,31,26,53,21,49,26,33,28,143,26,39,26,26,25,29,23,32,25,29,0,26,29,24,29,44,26,
FractionTest::testNegate ,20,20,20,19,20,19,19,18,19,18,20,19,20,17,20,20,20,14,18,20,18,19,22,63,17,18,87,31,33,45,239,18,18,37,15,18,18,16,18,16,18,17,23,2,19,46,12,31,28,19,20,20,20,19,20,19,19,18,19,18,20,19,16,16,20,20,14,18,18,18,20,18,18,18,19,22,60,18,56,26,33,46,157,18,37,15,18,16,18,16,20,18,18,26,0,19,12,31,49,16,
FractionTest::testPercentage ,3,2,3,2,3,0,2,3,1,2,3,2,3,6,3,3,3,8,3,3,3,2,26,74,17,20,93,32,39,54,245,5,6,44,12,5,6,14,6,7,5,2,26,17,0,50,26,33,36,2,3,2,3,2,3,0,2,3,1,2,3,2,6,6,3,3,8,4,4,3,3,3,4,7,2,26,71,20,61,29,39,55,163,5,44,12,5,14,6,7,3,5,2,29,19,0,26,33,59,10,
FractionTest::testReciprocal ,28,27,28,27,28,26,26,25,27,25,28,27,28,24,28,28,28,20,26,28,26,27,22,58,21,20,85,28,32,42,234,25,26,37,22,25,26,22,26,22,24,25,24,12,26,43,0,31,28,27,28,27,28,27,28,26,26,25,27,25,28,27,23,23,28,28,20,25,25,26,28,26,25,26,27,22,57,20,55,27,32,44,152,25,37,22,25,22,26,22,28,24,26,24,12,26,0,31,47,22,
FractionTest::testSerial ,36,34,36,35,36,33,34,33,34,33,36,35,36,33,36,36,36,36,36,36,36,35,31,63,25,29,79,29,33,45,226,32,32,36,30,32,32,30,34,30,30,33,30,32,33,38,31,0,33,35,36,34,36,35,36,33,34,33,34,33,36,35,36,36,36,36,36,36,36,36,36,36,36,36,35,31,59,29,48,29,33,45,145,32,36,30,32,30,34,30,36,30,34,29,31,33,31,0,48,28,
FractionTest::testSubtract ,62,60,62,60,62,59,59,59,59,59,62,60,62,58,62,61,61,54,60,61,60,61,55,38,48,47,68,45,53,36,211,56,60,53,51,56,60,51,59,54,56,59,41,51,59,46,47,48,23,61,62,60,62,60,62,59,59,59,59,59,62,60,57,56,61,61,54,58,58,60,61,60,59,59,61,55,32,47,48,49,53,35,130,56,53,51,56,51,59,54,62,56,59,44,49,59,47,48,0,56,
FractionTest::testToString ,12,11,12,12,12,10,10,10,10,10,12,12,12,9,12,12,12,12,12,12,12,12,21,71,15,18,88,30,34,51,239,9,11,38,11,9,11,14,10,8,8,9,25,14,10,45,22,28,33,11,12,11,12,12,12,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,21,68,18,56,24,34,50,157,9,38,11,9,14,10,8,12,8,11,26,16,10,22,28,56,0,
