:,ComplexFieldTest::testOne,ComplexFieldTest::testSerial,ComplexFieldTest::testZero,ComplexFormatAbstractTest::testConstructorSingleFormat,ComplexFormatAbstractTest::testDefaultFormatComplex,ComplexFormatAbstractTest::testDifferentImaginaryChar,ComplexFormatAbstractTest::testForgottenImaginaryCharacter,ComplexFormatAbstractTest::testFormatNumber,ComplexFormatAbstractTest::testGetImaginaryFormat,ComplexFormatAbstractTest::testGetRealFormat,ComplexFormatAbstractTest::testNan,ComplexFormatAbstractTest::testNegativeBoth,ComplexFormatAbstractTest::testNegativeImaginary,ComplexFormatAbstractTest::testNegativeInfinity,ComplexFormatAbstractTest::testNegativeReal,ComplexFormatAbstractTest::testParseDifferentImaginaryChar,ComplexFormatAbstractTest::testParseNan,ComplexFormatAbstractTest::testParseNegativeBoth,ComplexFormatAbstractTest::testParseNegativeImaginary,ComplexFormatAbstractTest::testParseNegativeReal,ComplexFormatAbstractTest::testParsePositiveInfinity,ComplexFormatAbstractTest::testParseSimpleNoDecimals,ComplexFormatAbstractTest::testParseSimpleWithDecimals,ComplexFormatAbstractTest::testParseSimpleWithDecimalsTrunc,ComplexFormatAbstractTest::testParseZeroImaginary,ComplexFormatAbstractTest::testParseZeroReal,ComplexFormatAbstractTest::testPaseNegativeInfinity,ComplexFormatAbstractTest::testPositiveInfinity,ComplexFormatAbstractTest::testSimpleNoDecimals,ComplexFormatAbstractTest::testSimpleWithDecimals,ComplexFormatAbstractTest::testSimpleWithDecimalsTrunc,ComplexFormatAbstractTest::testTrimOneImaginary,ComplexFormatAbstractTest::testZeroImaginary,ComplexFormatAbstractTest::testZeroReal,ComplexTest::testAbs,ComplexTest::testAbsInfinite,ComplexTest::testAbsNaN,ComplexTest::testAcos,ComplexTest::testAcosInf,ComplexTest::testAcosNaN,ComplexTest::testAdd,ComplexTest::testAddInf,ComplexTest::testAddNaN,ComplexTest::testAsin,ComplexTest::testAsinInf,ComplexTest::testAsinNaN,ComplexTest::testAtan,ComplexTest::testAtanI,ComplexTest::testAtanInf,ComplexTest::testAtanNaN,ComplexTest::testConjugate,ComplexTest::testConjugateInfiinite,ComplexTest::testConjugateNaN,ComplexTest::testConstructor,ComplexTest::testConstructorNaN,ComplexTest::testCos,ComplexTest::testCosInf,ComplexTest::testCosNaN,ComplexTest::testCosh,ComplexTest::testCoshInf,ComplexTest::testCoshNaN,ComplexTest::testDivide,ComplexTest::testDivideImaginary,ComplexTest::testDivideInf,ComplexTest::testDivideNaN,ComplexTest::testDivideNaNInf,ComplexTest::testDivideReal,ComplexTest::testDivideZero,ComplexTest::testDivideZeroZero,ComplexTest::testEqualsClass,ComplexTest::testEqualsImaginaryDifference,ComplexTest::testEqualsNaN,ComplexTest::testEqualsNull,ComplexTest::testEqualsRealDifference,ComplexTest::testEqualsSame,ComplexTest::testEqualsTrue,ComplexTest::testExp,ComplexTest::testExpInf,ComplexTest::testExpNaN,ComplexTest::testGetArgument,ComplexTest::testGetArgumentInf,ComplexTest::testGetArgumentNaN,ComplexTest::testHashCode,ComplexTest::testLog,ComplexTest::testLogInf,ComplexTest::testLogNaN,ComplexTest::testLogZero,ComplexTest::testMath221,ComplexTest::testMultiply,ComplexTest::testMultiplyInfInf,ComplexTest::testMultiplyNaN,ComplexTest::testMultiplyNaNInf,ComplexTest::testNegate,ComplexTest::testNegateNaN,ComplexTest::testNthRoot_cornercase_NAN_Inf,ComplexTest::testNthRoot_cornercase_thirdRoot_imaginaryPartEmpty,ComplexTest::testNthRoot_cornercase_thirdRoot_realPartZero,ComplexTest::testNthRoot_normal_fourthRoot,ComplexTest::testNthRoot_normal_thirdRoot,ComplexTest::testPow,ComplexTest::testPowInf,ComplexTest::testPowNaNBase,ComplexTest::testPowNaNExponent,ComplexTest::testPowZero,ComplexTest::testReciprocal,ComplexTest::testReciprocalImaginary,ComplexTest::testReciprocalInf,ComplexTest::testReciprocalNaN,ComplexTest::testReciprocalReal,ComplexTest::testReciprocalZero,ComplexTest::testScalarAdd,ComplexTest::testScalarAddInf,ComplexTest::testScalarAddNaN,ComplexTest::testScalarDivide,ComplexTest::testScalarDivideInf,ComplexTest::testScalarDivideNaN,ComplexTest::testScalarDivideZero,ComplexTest::testScalarMultiply,ComplexTest::testScalarMultiplyInf,ComplexTest::testScalarMultiplyNaN,ComplexTest::testScalarPow,ComplexTest::testScalarPowInf,ComplexTest::testScalarPowNaNBase,ComplexTest::testScalarPowNaNExponent,ComplexTest::testScalarPowZero,ComplexTest::testScalarSubtract,ComplexTest::testScalarSubtractInf,ComplexTest::testScalarSubtractNaN,ComplexTest::testSerial,ComplexTest::testSin,ComplexTest::testSinInf,ComplexTest::testSinNaN,ComplexTest::testSinh,ComplexTest::testSinhInf,ComplexTest::testSinhNaN,ComplexTest::testSqrt1z,ComplexTest::testSqrt1zNaN,ComplexTest::testSqrtImaginaryNegative,ComplexTest::testSqrtImaginaryZero,ComplexTest::testSqrtInf,ComplexTest::testSqrtNaN,ComplexTest::testSqrtPolar,ComplexTest::testSqrtRealNegative,ComplexTest::testSqrtRealPositive,ComplexTest::testSqrtRealZero,ComplexTest::testSubtract,ComplexTest::testSubtractInf,ComplexTest::testSubtractNaN,ComplexTest::testTan,ComplexTest::testTanCritical,ComplexTest::testTanInf,ComplexTest::testTanNaN,ComplexTest::testTanh,ComplexTest::testTanhCritical,ComplexTest::testTanhInf,ComplexTest::testTanhNaN,ComplexTest::testpowNull,ComplexUtilsTest::testPolar2Complex,ComplexUtilsTest::testPolar2ComplexIllegalModulus,ComplexUtilsTest::testPolar2ComplexInf,ComplexUtilsTest::testPolar2ComplexNaN,
ComplexFormatAbstractTest::testParseSimpleWithDecimalsTrunc ,2,2,2,1,1,2,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2,0,0,1,1,1,1,1,0,0,9,1,1,1,6,1,3,2,2,0,8,1,0,2,2,0,2,2,2,1,4,2,1,1,0,2,2,0,2,2,0,2,5,1,2,3,1,2,1,3,2,1,3,1,0,2,2,2,17,2,2,17,0,15,2,2,5,0,2,1,15,1,2,20,18,17,20,18,1,2,1,1,1,1,2,1,2,2,2,0,4,0,0,8,0,4,4,3,0,0,5,1,0,5,0,4,0,2,0,2,2,0,2,2,0,2,1,2,2,2,12,1,1,1,0,8,1,7,5,3,2,7,2,3,2,2,27,2,10,2,
ComplexFormatAbstractTest::testParseZeroImaginary ,3,3,3,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,2,2,1,1,0,0,2,2,2,1,1,9,2,2,2,5,2,2,3,3,1,7,1,1,3,3,1,3,3,3,2,3,3,2,1,1,3,3,1,3,3,1,1,4,2,2,2,2,1,2,2,1,2,2,2,1,1,3,3,16,2,3,16,1,15,3,3,4,1,3,2,14,2,3,20,17,17,20,18,1,3,2,2,2,2,1,1,3,1,3,1,3,1,1,7,1,3,4,3,1,1,5,2,1,4,1,3,1,2,1,3,3,1,3,3,1,3,1,1,3,3,11,1,1,2,1,7,1,6,4,2,3,6,2,2,3,3,26,3,9,3,
ComplexFormatAbstractTest::testParseZeroReal ,3,3,3,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,2,2,1,1,0,0,2,2,2,1,1,9,2,2,2,5,2,2,3,3,1,7,1,1,3,3,1,3,3,3,2,3,3,2,1,1,3,3,1,3,3,1,1,4,2,2,2,2,1,2,2,1,2,2,2,1,1,3,3,16,2,3,16,1,15,3,3,4,1,3,2,14,2,3,20,17,17,20,18,1,3,2,2,2,2,1,1,3,1,3,1,3,1,1,7,1,3,4,3,1,1,5,2,1,4,1,3,1,2,1,3,3,1,3,3,1,3,1,1,3,3,11,1,1,2,1,7,1,6,4,2,3,6,2,2,3,3,26,3,9,3,
ComplexFormatAbstractTest::testPaseNegativeInfinity ,1,2,1,0,2,2,3,0,0,0,0,1,1,0,1,1,0,1,1,1,0,2,1,1,2,2,0,0,1,1,1,10,2,2,0,7,0,4,1,1,1,9,2,1,1,1,1,1,1,1,0,5,1,0,2,1,1,1,1,1,1,1,3,6,0,1,4,0,2,0,4,3,1,4,0,1,3,1,1,18,2,1,18,1,16,1,1,6,1,1,1,16,0,1,20,18,17,20,18,2,1,0,0,0,0,3,2,1,3,1,1,5,1,1,9,1,4,5,4,1,1,5,0,1,5,1,5,1,3,1,1,1,1,1,1,1,1,2,3,1,1,12,2,2,2,1,9,2,8,6,3,1,8,2,3,1,2,27,2,10,2,
ComplexFormatAbstractTest::testPositiveInfinity ,1,2,1,0,2,2,3,0,0,0,0,1,1,0,1,1,0,1,1,1,0,2,1,1,2,2,0,0,1,1,1,10,2,2,0,7,0,4,1,1,1,9,2,1,1,1,1,1,1,1,0,5,1,0,2,1,1,1,1,1,1,1,3,6,0,1,4,0,2,0,4,3,1,4,0,1,3,1,1,18,2,1,18,1,16,1,1,6,1,1,1,16,0,1,20,18,17,20,18,2,1,0,0,0,0,3,2,1,3,1,1,5,1,1,9,1,4,5,4,1,1,5,0,1,5,1,5,1,3,1,1,1,1,1,1,1,1,2,3,1,1,12,2,2,2,1,9,2,8,6,3,1,8,2,3,1,2,27,2,10,2,
ComplexFormatAbstractTest::testSimpleNoDecimals ,2,2,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0,1,1,9,2,2,1,7,1,4,2,2,1,8,1,1,2,2,1,2,2,2,1,5,2,1,2,1,2,2,1,2,2,1,3,5,1,2,3,1,2,1,4,3,1,4,1,1,3,2,2,17,2,2,18,1,16,2,2,5,1,2,1,15,1,2,20,18,17,20,17,2,2,1,1,1,1,3,1,2,3,2,1,4,1,1,8,1,3,5,3,1,1,4,1,1,5,1,4,1,3,1,2,2,1,2,2,1,2,1,3,2,2,12,1,1,2,1,8,1,7,6,2,2,7,2,3,2,2,26,2,9,1,
ComplexFormatAbstractTest::testSimpleWithDecimals ,2,2,2,1,1,2,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2,0,0,1,1,1,1,1,0,0,9,1,1,1,6,1,3,2,2,0,8,1,0,2,2,0,2,2,2,1,4,2,1,1,0,2,2,0,2,2,0,2,5,1,2,3,1,2,1,3,2,1,3,1,0,2,2,2,17,2,2,17,0,15,2,2,5,0,2,1,15,1,2,20,18,17,20,18,1,2,1,1,1,1,2,1,2,2,2,0,4,0,0,8,0,4,4,3,0,0,5,1,0,5,0,4,0,2,0,2,2,0,2,2,0,2,1,2,2,2,12,1,1,1,0,8,1,7,5,3,2,7,2,3,2,2,27,2,10,2,
ComplexFormatAbstractTest::testSimpleWithDecimalsTrunc ,2,2,2,1,1,2,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2,0,0,1,1,1,1,1,0,0,9,1,1,1,6,1,3,2,2,0,8,1,0,2,2,0,2,2,2,1,4,2,1,1,0,2,2,0,2,2,0,2,5,1,2,3,1,2,1,3,2,1,3,1,0,2,2,2,17,2,2,17,0,15,2,2,5,0,2,1,15,1,2,20,18,17,20,18,1,2,1,1,1,1,2,1,2,2,2,0,4,0,0,8,0,4,4,3,0,0,5,1,0,5,0,4,0,2,0,2,2,0,2,2,0,2,1,2,2,2,12,1,1,1,0,8,1,7,5,3,2,7,2,3,2,2,27,2,10,2,
ComplexFormatAbstractTest::testTrimOneImaginary ,11,10,11,10,8,8,9,10,10,10,10,9,9,10,9,9,10,9,9,9,10,8,9,9,9,9,10,10,9,9,9,0,9,9,10,8,10,8,11,11,9,6,8,9,11,11,9,11,11,11,10,9,11,10,8,9,11,11,9,11,11,9,8,6,10,11,7,10,10,10,9,9,10,9,10,9,8,11,11,10,11,11,15,9,12,11,11,7,9,11,10,9,10,11,20,19,18,20,17,8,11,10,10,10,10,9,8,11,9,11,9,6,9,9,6,9,8,8,6,9,9,7,10,9,9,9,6,9,7,9,11,11,9,11,11,9,11,8,9,11,11,12,8,8,9,9,6,8,5,9,10,11,5,10,10,11,11,25,11,10,9,
ComplexFormatAbstractTest::testZeroImaginary ,3,3,3,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,2,2,1,1,2,2,2,2,2,1,1,9,0,0,2,5,2,3,3,3,1,7,2,1,3,3,1,3,3,3,2,3,3,2,1,1,3,3,1,3,3,1,1,4,2,2,2,2,1,2,2,1,2,2,2,1,2,3,3,16,2,3,16,1,15,3,3,4,1,3,2,14,2,3,20,17,16,20,18,1,3,2,2,2,2,1,2,3,1,3,1,4,1,1,7,1,3,4,3,1,1,5,2,1,4,1,4,1,2,1,3,3,1,3,3,1,3,2,1,3,3,11,2,2,0,1,7,2,6,4,3,3,6,1,2,3,3,26,2,9,3,
ComplexFormatAbstractTest::testZeroReal ,3,3,3,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,2,2,1,1,2,2,2,2,2,1,1,9,0,0,2,5,2,3,3,3,1,7,2,1,3,3,1,3,3,3,2,3,3,2,1,1,3,3,1,3,3,1,1,4,2,2,2,2,1,2,2,1,2,2,2,1,2,3,3,16,2,3,16,1,15,3,3,4,1,3,2,14,2,3,20,17,16,20,18,1,3,2,2,2,2,1,2,3,1,3,1,4,1,1,7,1,3,4,3,1,1,5,2,1,4,1,4,1,2,1,3,3,1,3,3,1,3,2,1,3,3,11,2,2,0,1,7,2,6,4,3,3,6,1,2,3,3,26,2,9,3,
ComplexTest::testAbs ,1,2,1,0,2,2,3,0,0,0,0,1,1,0,1,1,0,1,1,1,0,2,1,1,2,2,0,0,1,1,1,10,2,2,0,7,0,4,1,1,1,9,2,1,1,1,1,1,1,1,0,5,1,0,2,1,1,1,1,1,1,1,3,6,0,1,4,0,2,0,4,3,1,4,0,1,3,1,1,18,2,1,18,1,16,1,1,6,1,1,1,16,0,1,20,18,17,20,18,2,1,0,0,0,0,3,2,1,3,1,1,5,1,1,9,1,4,5,4,1,1,5,0,1,5,1,5,1,3,1,1,1,1,1,1,1,1,2,3,1,1,12,2,2,2,1,9,2,8,6,3,1,8,2,3,1,2,27,2,10,2,
ComplexTest::testAbsInfinite ,8,8,8,7,5,7,6,7,7,7,7,6,6,7,6,6,7,6,6,6,7,7,6,6,5,5,7,7,7,6,6,8,5,5,7,0,7,4,8,8,6,4,6,6,8,8,6,8,8,8,7,2,8,7,5,6,8,8,6,8,8,6,4,3,7,7,4,7,5,7,3,4,7,3,7,6,4,8,8,11,6,8,11,6,14,8,8,2,6,8,7,9,7,8,20,16,16,20,18,5,8,7,7,7,7,4,6,8,4,8,6,4,6,6,4,6,5,5,5,6,6,8,7,6,3,6,4,6,5,6,8,8,6,8,8,6,8,6,4,8,8,11,6,6,5,6,4,6,4,4,6,8,4,6,6,8,8,22,7,9,8,
ComplexTest::testAbsNaN ,1,2,1,0,2,2,3,0,0,0,0,1,1,0,1,1,0,1,1,1,0,2,1,1,2,2,0,0,1,1,1,10,2,2,0,7,0,4,1,1,1,9,2,1,1,1,1,1,1,1,0,5,1,0,2,1,1,1,1,1,1,1,3,6,0,1,4,0,2,0,4,3,1,4,0,1,3,1,1,18,2,1,18,1,16,1,1,6,1,1,1,16,0,1,20,18,17,20,18,2,1,0,0,0,0,3,2,1,3,1,1,5,1,1,9,1,4,5,4,1,1,5,0,1,5,1,5,1,3,1,1,1,1,1,1,1,1,2,3,1,1,12,2,2,2,1,9,2,8,6,3,1,8,2,3,1,2,27,2,10,2,
ComplexTest::testAcos ,5,5,5,4,2,4,3,4,4,4,4,3,3,4,3,3,4,3,3,3,4,4,3,3,2,2,4,4,4,3,3,8,3,3,4,4,4,0,5,5,3,6,3,3,5,5,3,5,5,5,4,2,5,4,2,3,5,5,3,5,5,3,2,3,4,4,3,4,2,4,3,2,4,3,4,3,1,5,5,14,3,5,14,3,14,5,5,3,3,5,4,12,4,5,20,17,17,20,18,2,5,4,4,4,4,2,3,5,2,5,3,3,3,3,5,3,2,4,4,3,3,5,4,3,4,3,3,3,2,3,5,5,3,5,5,3,5,3,2,5,5,11,3,3,3,3,6,3,4,4,4,5,4,3,3,5,5,25,4,9,5,
ComplexTest::testAcosInf ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexTest::testAcosNaN ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexTest::testAdd ,2,2,2,1,1,2,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2,0,0,1,1,1,1,1,0,0,9,1,1,1,6,1,3,2,2,0,8,1,0,2,2,0,2,2,2,1,4,2,1,1,0,2,2,0,2,2,0,2,5,1,2,3,1,2,1,3,2,1,3,1,0,2,2,2,17,2,2,17,0,15,2,2,5,0,2,1,15,1,2,20,18,17,20,18,1,2,1,1,1,1,2,1,2,2,2,0,4,0,0,8,0,4,4,3,0,0,5,1,0,5,0,4,0,2,0,2,2,0,2,2,0,2,1,2,2,2,12,1,1,1,0,8,1,7,5,3,2,7,2,3,2,2,27,2,10,2,
ComplexTest::testAddInf ,10,10,10,9,7,7,8,9,9,9,9,8,8,9,8,8,9,8,8,8,9,7,8,8,7,7,9,9,8,8,8,6,7,7,9,4,9,6,10,10,8,0,7,8,10,10,8,10,10,10,9,6,10,9,7,8,10,10,8,10,10,8,6,5,9,9,6,9,7,9,5,6,9,5,9,8,6,10,10,10,8,10,12,8,14,10,10,4,8,10,9,8,9,10,20,17,17,20,16,7,10,9,9,9,9,6,7,10,6,10,8,4,8,8,3,8,5,7,5,8,8,7,9,8,4,8,4,8,7,8,10,10,8,10,10,8,10,7,6,10,10,11,7,7,7,8,0,7,4,7,7,10,4,8,7,10,10,23,9,8,8,
ComplexTest::testAddNaN ,3,3,3,2,1,1,2,2,2,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,8,2,2,2,6,2,3,3,3,1,7,0,1,3,3,1,3,3,3,2,4,3,2,1,1,3,3,1,3,3,1,2,4,2,3,2,2,2,2,3,2,2,3,2,1,2,3,3,16,3,3,17,1,15,3,3,4,1,3,2,14,2,3,20,18,17,20,17,1,3,2,2,2,2,2,0,3,2,3,1,4,1,1,7,1,3,4,3,1,1,4,2,1,5,1,4,1,2,1,3,3,1,3,3,1,3,0,2,3,3,12,0,0,2,1,7,0,6,5,3,3,6,2,3,3,3,26,3,10,2,
ComplexTest::testAsin ,2,2,2,1,1,2,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2,0,0,1,1,1,1,1,0,0,9,1,1,1,6,1,3,2,2,0,8,1,0,2,2,0,2,2,2,1,4,2,1,1,0,2,2,0,2,2,0,2,5,1,2,3,1,2,1,3,2,1,3,1,0,2,2,2,17,2,2,17,0,15,2,2,5,0,2,1,15,1,2,20,18,17,20,18,1,2,1,1,1,1,2,1,2,2,2,0,4,0,0,8,0,4,4,3,0,0,5,1,0,5,0,4,0,2,0,2,2,0,2,2,0,2,1,2,2,2,12,1,1,1,0,8,1,7,5,3,2,7,2,3,2,2,27,2,10,2,
ComplexTest::testAsinInf ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexTest::testAsinNaN ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexTest::testAtan ,2,2,2,1,1,2,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2,0,0,1,1,1,1,1,0,0,9,1,1,1,6,1,3,2,2,0,8,1,0,2,2,0,2,2,2,1,4,2,1,1,0,2,2,0,2,2,0,2,5,1,2,3,1,2,1,3,2,1,3,1,0,2,2,2,17,2,2,17,0,15,2,2,5,0,2,1,15,1,2,20,18,17,20,18,1,2,1,1,1,1,2,1,2,2,2,0,4,0,0,8,0,4,4,3,0,0,5,1,0,5,0,4,0,2,0,2,2,0,2,2,0,2,1,2,2,2,12,1,1,1,0,8,1,7,5,3,2,7,2,3,2,2,27,2,10,2,
ComplexTest::testAtanI ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexTest::testAtanInf ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexTest::testAtanNaN ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexTest::testConjugate ,1,2,1,0,2,2,3,0,0,0,0,1,1,0,1,1,0,1,1,1,0,2,1,1,2,2,0,0,1,1,1,10,2,2,0,7,0,4,1,1,1,9,2,1,1,1,1,1,1,1,0,5,1,0,2,1,1,1,1,1,1,1,3,6,0,1,4,0,2,0,4,3,1,4,0,1,3,1,1,18,2,1,18,1,16,1,1,6,1,1,1,16,0,1,20,18,17,20,18,2,1,0,0,0,0,3,2,1,3,1,1,5,1,1,9,1,4,5,4,1,1,5,0,1,5,1,5,1,3,1,1,1,1,1,1,1,1,2,3,1,1,12,2,2,2,1,9,2,8,6,3,1,8,2,3,1,2,27,2,10,2,
ComplexTest::testConjugateInfiinite ,6,6,6,5,4,5,4,5,5,5,5,4,4,5,4,4,5,4,4,4,5,5,4,4,3,3,5,5,5,4,4,9,3,3,5,2,5,2,6,6,4,6,4,4,6,6,4,6,6,6,5,0,6,5,4,4,6,6,4,6,6,4,3,3,5,5,3,5,3,5,1,2,5,1,5,4,3,6,6,13,4,6,13,4,15,6,6,3,4,6,5,11,5,6,20,16,16,20,18,4,6,5,5,5,5,2,4,6,2,6,4,3,4,4,5,4,3,5,4,4,4,6,5,4,3,4,3,4,4,4,6,6,4,6,6,4,6,4,2,6,6,11,4,4,3,4,6,4,5,3,4,6,5,4,4,6,6,23,5,9,6,
ComplexTest::testConjugateNaN ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexTest::testConstructor ,1,2,1,0,2,2,3,0,0,0,0,1,1,0,1,1,0,1,1,1,0,2,1,1,2,2,0,0,1,1,1,10,2,2,0,7,0,4,1,1,1,9,2,1,1,1,1,1,1,1,0,5,1,0,2,1,1,1,1,1,1,1,3,6,0,1,4,0,2,0,4,3,1,4,0,1,3,1,1,18,2,1,18,1,16,1,1,6,1,1,1,16,0,1,20,18,17,20,18,2,1,0,0,0,0,3,2,1,3,1,1,5,1,1,9,1,4,5,4,1,1,5,0,1,5,1,5,1,3,1,1,1,1,1,1,1,1,2,3,1,1,12,2,2,2,1,9,2,8,6,3,1,8,2,3,1,2,27,2,10,2,
ComplexTest::testConstructorNaN ,3,3,3,2,0,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,1,1,8,1,1,2,5,2,2,3,3,1,7,1,1,3,3,1,3,3,3,2,4,3,2,0,1,3,3,1,3,3,1,1,4,2,3,2,2,2,2,3,2,2,3,2,1,1,3,3,16,3,3,16,1,14,3,3,4,1,3,2,14,2,3,20,18,17,20,18,0,3,2,2,2,2,2,1,3,2,3,1,3,1,1,7,1,4,3,2,1,1,5,2,1,5,1,3,1,1,1,3,3,1,3,3,1,3,1,2,3,3,12,1,1,1,1,7,1,6,5,3,3,6,2,3,3,3,27,3,10,3,
