:,DocumentTypeTest::constructorValidationOkWithBlankName,DocumentTypeTest::constructorValidationOkWithBlankPublicAndSystemIds,DocumentTypeTest::constructorValidationThrowsExceptionOnNulls,DocumentTypeTest::outerHtmlGeneration,HtmlParserTest::associatedFormControlsWithDisjointForms,HtmlParserTest::commentBeforeHtml,HtmlParserTest::convertsImageToImg,HtmlParserTest::createsDocumentStructure,HtmlParserTest::createsFormElements,HtmlParserTest::createsStructureFromBodySnippet,HtmlParserTest::discardsNakedTds,HtmlParserTest::doesNotCreateImplicitLists,HtmlParserTest::doesNotFindShortestMatchingEntity,HtmlParserTest::dropsUnterminatedAttribute,HtmlParserTest::dropsUnterminatedTag,HtmlParserTest::emptyTdTag,HtmlParserTest::findsCharsetInMalformedMeta,HtmlParserTest::handleNullContextInParseFragment,HtmlParserTest::handles0CharacterAsText,HtmlParserTest::handlesBaseTags,HtmlParserTest::handlesBaseWithoutHref,HtmlParserTest::handlesBlocksInDefinitions,HtmlParserTest::handlesCdata,HtmlParserTest::handlesCommentsInTable,HtmlParserTest::handlesDataOnlyTags,HtmlParserTest::handlesEscapedData,HtmlParserTest::handlesEscapedScript,HtmlParserTest::handlesFrames,HtmlParserTest::handlesImplicitCaptionClose,HtmlParserTest::handlesInputInTable,HtmlParserTest::handlesInvalidDoctypes,HtmlParserTest::handlesInvalidStartTags,HtmlParserTest::handlesJavadocFont,HtmlParserTest::handlesKnownEmptyBlocks,HtmlParserTest::handlesMisnestedTagsBI,HtmlParserTest::handlesMisnestedTagsBP,HtmlParserTest::handlesMultiClosingBody,HtmlParserTest::handlesNestedImplicitTable,HtmlParserTest::handlesNewlinesAndWhitespaceInTag,HtmlParserTest::handlesNullInComments,HtmlParserTest::handlesNullInData,HtmlParserTest::handlesQuotesInCommentsInScripts,HtmlParserTest::handlesSolidusAtAttributeEnd,HtmlParserTest::handlesSolidusInA,HtmlParserTest::handlesSpanInTbody,HtmlParserTest::handlesTagsInTextarea,HtmlParserTest::handlesTbodyTable,HtmlParserTest::handlesTextAfterData,HtmlParserTest::handlesTextArea,HtmlParserTest::handlesUnclosedAnchors,HtmlParserTest::handlesUnclosedCdataAtEOF,HtmlParserTest::handlesUnclosedDefinitionLists,HtmlParserTest::handlesUnclosedFormattingElements,HtmlParserTest::handlesUnclosedRawtextAtEof,HtmlParserTest::handlesUnclosedScriptAtEof,HtmlParserTest::handlesUnclosedTitle,HtmlParserTest::handlesUnclosedTitleAtEof,HtmlParserTest::handlesUnexpectedMarkupInTables,HtmlParserTest::handlesUnknownInlineTags,HtmlParserTest::handlesUnknownNamespaceTags,HtmlParserTest::handlesUnknownTags,HtmlParserTest::handlesWhatWgExpensesTableExample,HtmlParserTest::handlesWhitespaceInoDocType,HtmlParserTest::handlesXmlDeclarationAsBogusComment,HtmlParserTest::ignoresContentAfterFrameset,HtmlParserTest::ignoresDupeEndTrTag,HtmlParserTest::noErrorsByDefault,HtmlParserTest::noImplicitFormForTextAreas,HtmlParserTest::noTableDirectInTable,HtmlParserTest::normalisedBodyAfterContent,HtmlParserTest::normalisesDocument,HtmlParserTest::normalisesEmptyDocument,HtmlParserTest::normalisesHeadlessBody,HtmlParserTest::parsesBodyFragment,HtmlParserTest::parsesComments,HtmlParserTest::parsesQuiteRoughAttributes,HtmlParserTest::parsesRoughAttributes,HtmlParserTest::parsesSimpleDocument,HtmlParserTest::parsesUnterminatedComments,HtmlParserTest::parsesUnterminatedOption,HtmlParserTest::parsesUnterminatedTextarea,HtmlParserTest::preservesSpaceInScript,HtmlParserTest::preservesSpaceInTextArea,HtmlParserTest::reconstructFormattingElements,HtmlParserTest::reconstructFormattingElementsInTable,HtmlParserTest::relaxedBaseEntityMatchAndStrictExtendedMatch,HtmlParserTest::testAFlowContents,HtmlParserTest::testFontFlowContents,HtmlParserTest::testHeaderContents,HtmlParserTest::testHgroup,HtmlParserTest::testNoImagesInNoScriptInHead,HtmlParserTest::testRelaxedTags,HtmlParserTest::testSpaceAfterTag,HtmlParserTest::testSpanContents,HtmlParserTest::tracksErrorsWhenRequested,HtmlParserTest::tracksLimitedErrorsWhenRequested,
HtmlParserTest::handlesTagsInTextarea ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::handlesTbodyTable ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::handlesTextAfterData ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::handlesTextArea ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::handlesUnclosedAnchors ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::handlesUnclosedCdataAtEOF ,2,2,3,4,3,2,2,9,3,2,2,10,2,2,1,2,2,3,2,7,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,0,4,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,4,
HtmlParserTest::handlesUnclosedDefinitionLists ,5,5,5,5,3,5,5,8,3,5,5,8,5,5,3,5,5,4,5,6,5,5,2,5,5,5,5,5,5,3,5,5,5,5,5,5,3,5,5,5,5,5,5,5,3,5,5,5,5,5,4,0,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,4,
HtmlParserTest::handlesUnclosedFormattingElements ,2,2,3,4,2,2,2,10,2,2,2,11,2,2,2,2,2,4,2,6,2,2,4,2,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,5,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,7,4,
HtmlParserTest::handlesUnclosedRawtextAtEof ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::handlesUnclosedScriptAtEof ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::handlesUnclosedTitle ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::handlesUnclosedTitleAtEof ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::handlesUnexpectedMarkupInTables ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::handlesUnknownInlineTags ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::handlesUnknownNamespaceTags ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::handlesUnknownTags ,1,1,3,4,2,1,1,10,2,1,1,11,1,1,1,1,1,4,1,6,1,1,3,1,2,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,4,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,
HtmlParserTest::handlesWhatWgExpensesTableExample ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::handlesWhitespaceInoDocType ,1,1,3,4,2,1,1,10,2,1,1,11,1,1,2,1,1,4,1,6,1,1,4,1,1,0,1,1,1,3,1,1,2,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,2,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,
HtmlParserTest::handlesXmlDeclarationAsBogusComment ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::ignoresContentAfterFrameset ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::ignoresDupeEndTrTag ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::noErrorsByDefault ,2,2,3,4,3,2,2,9,3,2,2,10,2,2,0,2,2,4,2,7,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,2,2,2,2,2,2,3,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,4,
HtmlParserTest::noImplicitFormForTextAreas ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::noTableDirectInTable ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::normalisedBodyAfterContent ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::normalisesDocument ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::normalisesEmptyDocument ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::normalisesHeadlessBody ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::parsesBodyFragment ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::parsesComments ,3,3,3,4,3,3,3,10,3,3,3,11,3,3,3,3,3,4,3,5,3,3,4,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,0,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,7,4,
HtmlParserTest::parsesQuiteRoughAttributes ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::parsesRoughAttributes ,1,1,3,4,2,1,1,10,2,1,1,11,1,1,2,1,1,4,1,6,1,1,4,1,1,0,1,1,1,3,1,1,2,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,2,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,
HtmlParserTest::parsesSimpleDocument ,2,2,3,4,2,2,2,9,2,2,2,11,2,2,2,2,2,3,2,5,2,2,4,2,0,1,2,2,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,5,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,4,
HtmlParserTest::parsesUnterminatedComments ,3,3,3,4,1,3,3,9,1,3,3,11,3,3,3,3,3,4,3,4,3,3,4,3,1,2,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,0,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,
HtmlParserTest::parsesUnterminatedOption ,1,1,3,4,2,1,1,10,2,1,1,11,1,1,1,1,1,4,1,6,1,1,3,1,2,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,4,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,
HtmlParserTest::parsesUnterminatedTextarea ,1,1,3,4,2,1,1,11,2,1,1,12,1,1,2,1,1,5,1,6,1,1,4,1,2,1,1,1,1,3,1,1,3,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,
HtmlParserTest::preservesSpaceInScript ,0,0,2,3,3,1,1,11,3,1,1,12,1,1,2,1,1,5,1,7,1,1,4,1,2,1,1,1,1,3,1,1,3,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,2,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,3,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,8,5,
HtmlParserTest::preservesSpaceInTextArea ,0,0,2,3,3,1,1,11,3,1,1,12,1,1,2,1,1,5,1,7,1,1,4,1,2,1,1,1,1,3,1,1,3,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,2,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,3,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,8,5,
HtmlParserTest::reconstructFormattingElements ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::reconstructFormattingElementsInTable ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::relaxedBaseEntityMatchAndStrictExtendedMatch ,1,1,3,4,3,1,1,11,3,1,1,12,1,1,2,1,1,5,1,7,1,1,4,1,2,1,1,1,1,3,1,1,3,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,8,5,
HtmlParserTest::testAFlowContents ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::testFontFlowContents ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::testHeaderContents ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::testHgroup ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::testNoImagesInNoScriptInHead ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::testRelaxedTags ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::testSpaceAfterTag ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::testSpanContents ,1,1,3,4,3,0,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::tracksErrorsWhenRequested ,8,8,8,8,5,8,8,10,5,8,8,11,8,8,7,8,8,6,8,5,8,8,7,8,7,7,8,8,8,7,8,8,7,8,8,8,7,8,8,8,8,8,8,8,7,8,8,8,8,8,7,6,7,8,8,8,8,8,8,8,7,8,7,8,8,8,7,8,8,8,8,8,8,8,7,8,7,7,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,0,4,
HtmlParserTest::tracksLimitedErrorsWhenRequested ,5,5,5,5,2,5,5,9,2,5,5,11,5,5,4,5,5,4,5,4,5,5,4,5,4,4,5,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,4,4,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,0,
